ā wèi	阿魏
cǎo xī	草蜥
cǎo xī	草蟋
cǎo xiāo	草鴞
cǎo yàn	草雁
cǎo yīng	草鶯
cāo yóu	糙鮋
cǎo yú	草魚
cǎo zhōng	草螽
cǎo zhū	草蛛
cè bǎi	側柏
cè ěr	側耳
cè qiāng	側腔
cè yíng	廁蠅
cè zhōng	箣柊
cè zhú	箣竹
chā jué	叉蕨
chá lí	茶梨
chá líng	茶菱
chā lóng	叉龍
chá mù	檫木
chá shù	檫樹
chā tái	叉苔
chā wèi	叉䲁
chái hú	柴胡
chán chú	蟾蜍
chán nián	蟾鯰
chán xiā	蟬蝦
chán xiè	蟬蟹
chǎn xún	鏟鱘
chàn yǐn	顫蚓
chán yú	蟾魚
chàn zǎo	顫藻
cháng bà	長鮊
cháng bí	長鼻
cháng bī	長鰏
cháng chāng	長鯧
cháng chì	長翅
cháng chūn	長蝽
cháng dié	長鰈
cháng dù	長蠹
cháng jué	腸蕨
cháng lú	長鱸
chāng pú	菖蒲
cháng shān	常山
chāng shēn	鯧鰺
cháng yá	常蚜
chāng yóu	菖鮋
cháng yú	鱨魚
cháo dōng	嘲鶇
cháo é	巢蛾
cháo guī	潮龜
chāo lóng	超龍
cháo míng	巢螟
cháo shǔ	巢鼠
cháo xiā	巢蝦
cháo zhū	潮蛛
chē huáng	車蝗
chē qián	車前
chē qú	硨磲
chén há	忱蛤
chén mǎn	塵蟎
chén xiāng	沉香
chén zhū	塵蛛
chēng bàng	蟶蚌
chēng liǔ	檉柳
chéng sāng	橙桑
chēng tóng	赬桐
chéng yī	橙衣
chéng yù	塍鷸
chì bó	赤瓟
chì cái	赤才
chí chán	池蟾
chǐ chán	齒蟾
chì chē	赤車
chǐ chóng	豉蟲
chǐ chūn	尺蝽
chǐ chún	齒鶉
chì diāo	赤鯛
chǐ é	尺蛾
chì guī	赤鮭
chí guī	池龜
chì há	翅蛤
chì hóu	赤猴
chǐ jiǎ	豉甲
chì jiàn	赤箭
chǐ jūn	齒菌
chǐ líng	齒蛉
chí lóng	馳龍
chí lù	池鷺
chì lù	赤鯥
chì mǎn	赤蟎
chí màn	匙鰻
chì méi	赤黴
chì nán	赤楠
chì qīng	赤蜻
chǐ táng	齒螳
chì wā	赤蛙
chì xiā	赤蝦
chī xiāo	鴟鴞
chì yáng	赤楊
chì yì	赤鮨
chí yíng	池蠅
chì yīng	赤鷹
chì yǒng	赤鯒
chì yóu	赤鮋
chì zǎo	翅藻
chǐ zhēn	齒鱵
chì zhú	赤竹
chóng dié	蟲鰈
chóng dòu	蟲豆
chóng lóu	重樓
chóng méi	蟲黴
chóng shí	蟲實
chòu cǎo	臭草
chòu chóng	臭蟲
chòu chūn	臭椿
chòu chūn	臭蝽
chòu huān	臭獾
chóu lǐ	稠李
chòu měng	臭獴
chòu qú	臭鼩
chòu sōng	臭菘
chòu sōng	臭松
chòu wā	臭蛙
chǒu yā	醜鴨
chòu yòu	臭鼬
chú há	雛蛤
chú huáng	雛蝗
chú jú	雛菊
chū yuán	初螈
chǔ zhū	楚蛛
chuān dié	川鰈
chuān qú	川鼩
chuán shāo	船蛸
chuān zǎo	川藻
chuān zhōng	川螽
chuáng chóng	牀蟲
chuāng yíng	窗螢
chuāng yù	窗玉
chuí diāo	椎鯛
chuí xiǎn	垂蘚
chún cài	蓴菜
chún jiū	鶉鳩
chún kǒu	脣口
chún lán	脣蘭
chūn liǎo	春蓼
chún líng	脣鯪
chún luó	鶉螺
chún què	鶉雀
chún shēn	脣鰺
chūn tíng	春蜓
chūn xiàng	椿象
chūn xiàng	蝽象
chún xíng	唇形
chún yú	脣魚
chún zhū	純蛛
cì bà	刺鮁
cì bǎi	刺柏
cì biān	刺鯿
cì chāng	刺鯧
cì chūn	刺蝽
cí diāo	慈鯛
cì é	刺蛾
cì gāo	次睾
cì gōu	刺鉤
cí gū	慈姑
cí gū	茨菰
cí gū	慈菇
cì guì	刺鱥
cì hǔ	刺虎
cì huái	刺槐
cì jué	刺蕨
cì kuí	刺葵
cì lǎn	刺欖
cì liáo	刺鷯
cí luó	瓷螺
cì luó	刺螺
cì qín	刺芹
cì qiū	刺鰍
cì qiū	刺楸
cì shā	刺鯊
cì shēn	刺參
cì sǒng	刺楤
cì táng	刺螳
cì téng	刺藤
cì tóng	刺桐
cì tún	刺魨
cì wei	刺蝟
cì xiē	刺蠍
cí xiè	瓷蟹
cì yì	刺鮨
cì yīng	刺鶯
cì yú	刺榆
cì yú	刺魚
cì yù	刺芋
cí zǎo	茨藻
cì zǎo	刺蚤
cì zhú	刺竹
cì zuǐ	刺嘴
cóng fú	叢菔
cóng hóu	叢猴
cōng jiè	蔥芥
cóng jú	叢鵙
cōng lián	蔥蓮
cóng wā	叢蛙
cóng xiǎn	叢蘚
cóng yā	叢鴉
cóng yīng	叢鶯
cū fěi	粗榧
cù jiè	簇芥
cù lì	醋栗
cuàn niǎo	竄鳥
cuì bǎi	翠柏
cuì jú	翠菊
cuì jué	翠蕨
cuì lán	脆蘭
cuì méi	翠梅
cuì niǎo	翠鳥
cuì què	翠雀
cuì sǎn	脆傘
cuì tíng	翠蜓
cuì xī	翠蜥
cuì zhū	翠蛛
cuò shé	銼蛇
cuó táng	矬螳
dà bǎo	大鴇
dà cān	大參
dà dòu	大豆
dà dōu	大兜
dà huán	大䴉
dà huáng	大黃
dà jǐ	大戟
dà lián	大蠊
dà má	大麻
dà mài	大麥
dà méng	大虻
dà ní	大鯢
dà piáo	大薸
dà píng	大萍
dà qīng	大青
dà shāo	大蛸
dà shǔ	大鼠
dà tíng	大蜓
dà wén	大蚊
dà xiǎn	大蜆
dà yá	大蚜
dài diāo	袋貂
dài é	帶蛾
dài huān	袋獾
dài jiǎ	帶甲
dài jú	戴菊
dài láng	袋狼
dài lí	袋狸
dài lí	帶狸
dài luó	帶螺
dài luó	袋螺
dài mào	玳瑁
dài māo	袋貓
dài mò	袋貘
dài shèng	戴勝
dài shī	袋獅
dài shǔ	袋鼠
dài wèi	帶䲁
dài wú	帶鵐
dài wú	袋鼯
dài xiǎn	帶蘚
dài xióng	袋熊
dài yǎn	袋鼴
dài yòu	袋鼬
dài yóu	帶鮋
dài yú	帶魚
dài zhū	袋蛛
dàn lóng	蛋龍
dàn luó	蜑螺
dān niè	單齧
dǎng shēn	黨參
dāng yào	當藥
dāo chēng	刀蟶
dāo dòu	刀豆
dào huáng	稻蝗
dǎo líng	島羚
dào lóng	盜龍
dāo nián	刀鯰
dǎo què	島雀
dǎo rán	島蚺
dào shī	稻蝨
dǎo shǔ	島鼠
dāo táng	刀螳
dǎo wú	島鼯
dǎo xī	島蜥
dào yà	稻亞
dǎo yǎn	島鼴
dǎo yī	島衣
dāo yú	刀魚
dào zhū	盜蛛
děng chì	等翅
dēng é	燈蛾
dēng jiāng	燈鱂
dèng líng	瞪羚
děng xiē	等蠍
dēng yóu	燈魷
dī chóng	滴蟲
dì dǎn	地膽
dí diāo	笛鯛
dì dōng	地鶇
dì è	帝鱷
dì fēng	地蜂
dì fū	地膚
dì gū	地菇
dì guān	帝冠
dì guī	地龜
dì há	地蛤
dì huáng	地黃
dǐ jiāng	底鱂
dì jǐn	地錦
dì jiū	地鳩
dì juān	地鵑
dì lóng	地龍
dì lóng	帝龍
dí luó	笛螺
dì méi	地鶥
dì méi	地黴
dì qián	地錢
dì què	地雀
dì shǔ	地鼠
dì sǔn	地筍
dì táng	棣棠
dì táng	地螳
dì tù	地兔
dì xiè	地蟹
dì xīng	地星
dì yā	地鴉
dì yīng	地鶯
dì yuán	地猿
dí zhōng	滌螽
dì zhū	地蛛
diān lán	滇蘭
diàn mán	電鰻
diàn nián	電鮎
diàn nián	電鯰
diān qié	顛茄
diān qín	滇芹
diàn rèn	墊刃
diān tóng	滇桐
diān xiōng	滇芎
diàn yáo	電鰩
diǎn yíng	點蠅
diān zhú	滇竹
diāo é	凋蛾
diào lán	吊蘭
diāo liáo	蛁蟟
diāo quán	雕蜷
diāo xiā	雕蝦
diāo xiāo	雕鴞
diāo xióng	貂熊
diāo yá	雕蚜
diào zhāng	釣樟
diào zhōng	吊鐘
dié bèi	碟貝
dié cān	蝶參
dié dòu	蝶豆
dié fú	蝶蝠
dié lán	蝶蘭
dié xíng	鰈形
dié xū	蝶須
dié yú	蝶魚
dīng gū	釘菇
dīng guì	丁鱥
dǐng huā	頂花
dīng lì	丁蠣
dīng luó	釘螺
dīng qiàn	丁茜
dǐng wèi	頂䲁
dīng xiāng	丁香
dōng guā	冬瓜
dòng guī	洞龜
dōng jí	東急
dǒng jī	董雞
dòng jiǎ	胴甲
dòng lú	洞鱸
dōng méi	鶇鶥
dōng qīng	冬青
dòng qiū	洞鰍
dòng shǔ	洞鼠
dōng tiān	東天
dòng yuán	洞螈
dòng zhì	洞蛭
dòu bēi	鬥鵯
dōu chūn	兜蝽
dòu kòu	豆蔻
dōu lán	兜蘭
dòu lán	豆蘭
dōu lí	兜藜
dòu luó	豆螺
dòu shǔ	豆薯
dòu shuài	鬥蟀
dòu xiàng	豆象
dòu xiè	豆蟹
dòu xiè	鬥蟹
dòu yú	鬥魚
dòu zú	豆足
dú cān	毒參
dǔ chán	篤蟬
dú dòu	毒豆
dú é	毒蛾
dú guā	毒瓜
dú huó	獨活
dù juān	杜鵑
dù liàn	杜楝
dú mài	毒麥
dú qín	毒芹
dù ruò	杜若
dú xī	毒蜥
dù xiāng	杜香
dù yīng	杜英
dú yóu	毒鮋
dù zhòng	杜仲
duǎn pán	短盤
duàn shù	椴樹
duān táng	端螳
duǎn yàn	短咽
duǎn yáo	短鰩
duǎn yǐ	短蟻
duǎn yǒng	短鯒
duì xiā	對蝦
dùn chán	盾蟾
dùn chūn	盾蝽
dùn fù	盾腹
dùn jué	盾蕨
dùn lóng	盾龍
dùn lú	鈍鱸
dùn mǎng	盾蟒
dùn shé	鈍蛇
dùn táng	遁螳
dùn yī	楯衣
dùn zhù	盾柱
duō chǐ	多齒
duò jiān	舵鰹
duō ké	多殼
duō wàn	多腕
é cān	峨參
é gāo	鵝膏
è guī	鱷龜
è lí	鱷梨
é luó	蛾螺
é luó	峨螺
é nián	蛾鯰
é ruì	蛾蚋
è shī	顎蝨
è wèi	鱷䲁
è xī	鱷蜥
è yǒng	鱷鯒
é zǎo	額蚤
ěr cǎo	耳草
ér chá	兒茶
ěr jú	耳菊
ěr jué	耳蕨
ěr luó	耳螺
ěr mǎn	耳蟎
ěr méi	耳黴
ér miáo	鴯鶓
ěr xiāo	耳鴞
fā cǎo	發草
fǎ luó	法螺
fān bàng	帆蚌
fàn guā	飯瓜
fān jiāo	番椒
fān luó	帆螺
fán lǚ	繁縷
fǎn niǎo	反鳥
fān qié	番茄
fān shǔ	番薯
fān shǔ	蕃薯
fān xī	帆蜥
fān xìng	番杏
fāng bàng	方蚌
fāng diāo	方鯛
fáng fēng	防風
fáng jǐ	防己
fǎng wèi	仿䲁
fāng xiè	方蟹
fāng zhú	方竹
fèi cài	費菜
fèi cǎo	肺草
fèi fèi	狒狒
fēi huáng	飛蝗
fēi jì	非鯽
fēi lǐ	緋鯉
fěi lián	蜚蠊
fēi lián	飛廉
fēi lóng	飛龍
fěi luó	榧螺
féi ní	肥鯢
fēi péng	飛蓬
fēi shī	飛蝨
fēi shǔ	飛鼠
fěi shù	榧樹
féi sōu	肥螋
fēi xī	飛蜥
fēi xíng	鯡形
fèi yī	肺衣
fèi yú	肺魚
fēi yú	飛魚
féi yuán	肥螈
fēi zhà	菲柞
fēi zhū	緋蛛
fěn bāo	粉孢
fěn dié	粉蝶
fěn dù	粉蠹
fěn gē	粉鴿
fěn jiè	粉蚧
fěn líng	粉蛉
fěn mǎn	粉蟎
fèn sǎn	糞傘
fěn shī	粉蝨
fén shǔ	鼢鼠
fěn téng	粉藤
fèn wén	糞蚊
fěn yá	粉蚜
fěn yī	粉衣
fèn yíng	糞蠅
fèng dié	鳳蝶
fèng é	鳳蛾
fēng hóu	蜂猴
fēng hǔ	蜂虎
fēng hù	風鸌
fēng lán	蜂蘭
fēng lán	風蘭
fèng lí	鳳梨
fēng lóng	風龍
fèng luó	鳳螺
fèng méi	鳳鶥
fēng méng	蜂虻
fēng niǎo	蜂鳥
fèng wèi	鳳䲁
fēng xiāng	楓香
fēng yáng	楓楊
fēng yīng	蜂鷹
fó huáng	佛蝗
fú cán	浮蠶
fù chūn	負蝽
fù dōng	副鮗
fú é	蝠蛾
fù è	副鱷
fù fēi	副鯡
fù fèi	副狒
fú fèn	蝠鱝
fǔ há	斧蛤
fù há	腹蛤
fū hóu	跗猴
fú huā	輻花
fù huáng	負蝗
fū jìn	稃藎
fù jūn	腹菌
fù lǐ	副鱧
fú líng	茯苓
fù lú	副鱸
fú mǎn	蝠蟎
fǔ méi	腐黴
fú mù	福木
fú píng	浮萍
fù qiū	副鰍
fù shé	蝮蛇
fù shǔ	負鼠
fú tái	浮苔
fú wā	浮蛙
fù wèi	副䲁
fú yì	伏翼
fú yíng	伏蠅
fǔ yíng	腐蠅
fū yíng	膚蠅
fú yóu	蜉蝣
fù zhì	副蛭
fú zhū	弗蛛
fù zǐ	附子
gài chūn	蓋蝽
gài luó	蓋螺
gài zhū	蓋蛛
gān cǎo	甘草
gān jú	柑橘
gān jú	柑桔
gǎn lǎn	橄欖
gān shí	杆石
gān sōng	甘松
gān xiū	杆䗛
gǎn yíng	稈蠅
gān zǎo	甘藻
gān zhè	甘蔗
gàn zhū	贛蛛
gàng liǔ	槓柳
gǎng sōng	崗松
gāng zhú	剛竹
gǎo běn	藁本
gāo dié	高鰈
gāo jiāng	高鱂
gāo liang	高粱
gāo lóng	高龍
gǎo měng	縞獴
gǎo míng	縞螟
gāo wèi	高䲁
gǎo yíng	縞蠅
gē bī	歌鵖
gé chì	革翅
gé guī	革龜
gé lí	蛤蜊
gé pí	革蜱
gē qú	歌鴝
gé shēn	革鰺
gé téng	葛藤
gé tún	革魨
gē wú	歌鵐
gē xī	戈蟋
gē xíng	鴿形
gē zhōng	戈螽
gēn mǎn	根蟎
gēn yá	根蚜
gèng hóu	更猴
gòng jiǎ	貢甲
gōng jiāo	弓鮫
gōng shā	弓鯊
gōng tíng	弓蜓
gǒng tóng	珙桐
gōng xiè	弓蟹
gōng xíng	𮭥形
gōng yú	弓魚
gōng yú	公魚
gōu cháng	溝鱨
gōu é	鉤蛾
gōu è	鉤萼
gǒu huān	狗獾
gǒu jǐ	狗脊
gōu jué	鉤蕨
gōu luó	溝螺
gōu nián	鉤鮎
gōu nián	鉤鯰
gǒu qǐ	枸杞
gǒu shā	狗鯊
gōu shēn	溝鰺
gòu shù	構樹
gōu téng	鉤藤
gōu wěn	鉤吻
gōu xiā	鉤蝦
gōu yóu	鉤魷
gǒu yú	狗魚
gǔ bǎo	古鴇
gǔ biān	骨鯿
gǔ biào	骨鰾
gǔ chóng	古蟲
gǔ dào	谷盜
gǔ dǐng	骨頂
gū dōng	孤鶇
gǔ è	古鱷
gǔ é	谷蛾
gǔ guǒ	古果
gǔ hòu	古鱟
gǔ hóu	古猴
gǔ jiǎ	骨甲
gǔ jué	鼓蕨
gǔ jué	古蕨
gǔ kē	古柯
gǔ lián	古蠊
gǔ lóng	骨龍
gǔ luó	骨螺
gǔ mù	谷木
gǔ shāo	古蛸
gǔ shǔ	谷鼠
gǔ táng	谷螳
gǔ tíng	古蜓
gǔ tù	古兔
gǔ wēi	骨鰃
gǔ xiā	鼓蝦
gǔ xuě	古鱈
gǔ yuán	古蚖
gǔ zǎo	鼓藻
gǔ zú	古足
guā cān	瓜參
guā chūn	瓜蝽
guā lì	瓜慄
guā lóu	栝樓
guā lóu	栝蔞
guǎ zhì	寡蛭
guài shī	怪蝨
guài táng	怪螳
guài xiè	怪蟹
guài yuán	怪螈
guān bàng	冠蚌
guān bēi	冠鵯
guān dié	冠鰈
guān é	冠蛾
guān fēng	冠蜂
guān hè	冠鶴
guān jiū	冠鳩
guān lóng	冠龍
guǎn luó	管螺
guān luó	冠螺
guān nián	冠鯰
guān nián	冠鮎
guǎn shé	管蛇
guàn shé	灌蛇
guān shǔ	冠鼠
guān táng	冠螳
guàn xíng	鸛形
guān yā	冠鴉
guān zhì	冠雉
guàn zhòng	貫眾
guān zhū	冠蛛
guǎn zhū	管蛛
guāng dié	光鰈
guāng gāo	光睾
guāng guì	光鱥
guāng jué	光蕨
guāng láng	桄榔
guāng luó	光螺
guāng shān	光山
guāng xī	光蜥
guī biē	龜鱉
guī cǎo	硅草
guī chán	龜蟾
guī chūn	龜蝽
guǐ jiù	鬼臼
guì lán	桂蘭
guǐ lán	鬼蘭
guǐ lóng	鬼龍
guī lú	鮭鱸
guì mù	桂木
guǐ sǎn	鬼傘
guǐ xiāo	鬼鴞
guǐ xiè	鬼蟹
guī xíng	鮭形
guì yīng	桂櫻
guǐ yóu	鬼鮋
guǐ yú	鬼魚
guī zǎo	硅藻
guǐ zhēn	鬼針
guǐ zhū	鬼蛛
guī zī	龜鯔
guī zú	龜足
guǒ fú	果蝠
guō gōng	郭公
guǒ jiū	果鳩
guǒ luǒ	蜾蠃
guǒ mǎn	果蟎
guǒ wēng	果鶲
guǒ yíng	果蠅
guō zhōng	蟈螽
há zǎi	蛤仔
hǎi bào	海豹
hǎi bǐ	海筆
hǎi cháng	海鱨
hǎi chūn	海蝽
hǎi cōng	海蔥
hǎi dài	海帶
hǎi dǎn	海膽
hǎi diāo	海雕
hǎi fáng	海魴
hǎi fù	海鮒
hǎi gǒu	海狗
hǎi guī	海龜
hǎi hǔ	海虎
hǎi jì	海鯽
hǎi kuí	海葵
hǎi láng	海螂
hǎi lí	海鱺
hǎi lián	海鰱
hǎi lóng	海龍
hài lóng	駭龍
hǎi lù	海鹿
hǎi mǎ	海馬
hǎi mǎn	海蟎
hǎi mán	海鰻
hǎi mó	海膜
hǎi nián	海鯰
hài niǎo	駭鳥
hǎi niú	海牛
hǎi qī	海漆
hǎi quán	海蜷
hǎi què	海雀
hǎi sāng	海桑
hǎi shàn	海鱔
hǎi shé	海蛇
hǎi shēn	海參
hǎi shī	海獅
hǎi sǔn	海筍
hǎi tǎ	海獺
hǎi táng	海棠
hǎi tóng	海桐
hǎi tù	海兔
hǎi tún	海豚
hǎi xiàng	海象
hǎi yā	海鴉
hǎi yàn	海燕
hǎi yíng	海螢
hǎi yīng	海鸚
hǎi yóu	海鮋
hǎi yù	海芋
hǎi yùn	海蘊
hǎi zǎo	海棗
hǎi zhé	海蜇
hǎi zhì	海蛭
hǎn cài	蔊菜
hàn jué	旱蕨
hàn lóng	悍龍
hàn tǎ	旱獺
hǎn wèi	罕䲁
hàn xiǎn	旱蘚
hán xiǎn	寒蘚
hán xiào	含笑
hán yā	寒鴉
hàn yǐ	悍蟻
hán zhú	寒竹
hāo jué	蒿蕨
háo zǎo	貉藻
háo zhū	豪豬
hé guī	河龜
hé guī	盒龜
hé huān	合歡
hé jǐ	河麂
hè jiāo	赫蕉
hé lí	河狸
hè líng	褐蛉
hé lóng	頜龍
hé lú	河鱸
hé luó	核螺
hé luó	盒螺
hé luó	河螺
hé mǎ	河馬
hè méi	褐鶥
hé méng	合萌
hé nián	河鯰
hè qīng	褐蜻
hé què	禾雀
hé sāi	合鰓
hè sǎn	褐傘
hè shī	鶴蝨
hé tún	河豚
hè tuó	鶴鴕
hé wū	河烏
hè xiā	褐蝦
hè xuě	褐鱈
hé yā	河鴨
hé yàn	河燕
hé yíng	河蠅
hè zhēn	鶴鱵
hē zǐ	訶子
hēi bǎo	黑鴇
hēi cǎo	黑草
hēi chūn	黑蝽
hēi chún	黑鶉
hēi è	黑鱷
hēi huáng	黑蝗
hēi jú	黑鵙
hēi lí	黑鸝
hēi lú	黑鱸
hēi mài	黑麥
hēi què	黑雀
hēi shǔ	黑鼠
hēi shuò	黑蒴
hēi táng	黑螳
hēi xī	黑犀
hēi xuě	黑鱈
hēi yàn	黑雁
hēi yíng	黑蠅
hēi yóu	黑鮋
hēi zǎo	黑藻
héng xíng	鴴形
hóng bà	紅鮊
hóng chóng	紅蟲
hóng chūn	紅蝽
hóng cōng	紅蔥
hóng dòu	紅豆
hóng gū	紅菇
hóng guā	紅瓜
hóng guàn	紅鸛
hóng huā	紅花
hóng jiè	紅蚧
hóng qīng	紅蜻
hóng rán	虹蚺
hóng shā	紅沙
hóng shā	紅砂
hóng shān	紅杉
hóng shù	紅樹
hóng táng	虹螳
hóng tù	紅兔
hóng wēng	紅鶲
hóng yǐ	紅蟻
hóng yíng	紅螢
hóng yǒng	紅鯒
hóng zhì	紅蛭
hóng zhì	虹雉
hòu chǐ	厚齒
hòu chóng	鱟蟲
hòu há	厚蛤
hǒu hóu	吼猴
hòu māo	後貓
hòu pò	厚朴
hòu xiè	厚蟹
hòu zéi	後鰂
hú chún	胡鯙
hǔ cì	虎刺
hǔ é	虎蛾
hú fēi	湖鯡
hú fēng	胡蜂
hú fú	狐蝠
hú há	弧蛤
hú há	狐蛤
hú hóu	狐猴
hǔ jiǎ	虎甲
hú jiān	狐鰹
hú jiāo	胡椒
hú jiāo	狐鮫
hú jiè	壺蚧
hǔ jīng	虎鯨
hú jué	槲蕨
hú láng	胡狼
hú lu	葫蘆
hǔ lù	虎鷺
hú luó	壺螺
hú má	胡麻
hǔ māo	虎貓
hú měng	狐獴
hú nián	胡鯰
hǔ shā	虎鯊
