ā kā piàn	阿咖片
yán rè qīng piàn	炎熱清片
yǎng xīn shì piàn	養心氏片
yì kūn níng piàn	益坤寧片
yì mài kāng piàn	益脈康片
yì nǎo níng piàn	益腦寧片
yīn bái chōng jì	茵白沖劑
yǐn duǒ bù fēn	吲哚布芬
yǐn duǒ jīng lǜ	吲哚菁綠
yǐn duǒ lā míng	吲哚拉明
yǐn duǒ luò ěr	吲哚洛爾
yǐn duǒ měi xīn	吲哚美辛
yín xìng yè piàn	銀杏葉片
yū xuè bì piàn	瘀血痹片
zēng kàng níng piàn	增抗寧片
zēng shēng píng piàn	增生平片
zhèng xīn tài piàn	正心泰片
zhī jiàng níng piàn	脂降寧片
zhǐ ké bǎo piàn	止咳寶片
zhì méi sù piàn	制黴素片
zhì tè jiā piàn	痔特佳片
zhǐ xuè níng piàn	止血寧片
zhì yán xiāo piàn	痔炎消片
zhǐ yǎng xǐ jì	止癢洗劑
zhǒng jié fēng piàn	腫節風片
zǐ lóng jīn piàn	紫龍金片
zǔ shī má piàn	祖師麻片
ā běn dá zuò piàn	阿苯達唑片
ā bǐ duō ěr piàn	阿比多爾片
ā cǎo luò wéi piàn	阿草洛韋片
ā fēn kā mǐn piàn	阿酚咖敏片
ā fū zuò qín piàn	阿呋唑嗪片
ā kǎ bō táng piàn	阿卡波糖片
ā kā fēn jiāo náng	阿咖酚膠囊
ā kè tā lì piàn	阿克他利片
ā lì pài zuò piàn	阿立哌唑片
ā mǐ luò lì piàn	阿米洛利片
ā mǐ tì lín piàn	阿米替林片
ā mò xī lín piàn	阿莫西林片
ā nà qū zuò piàn	阿那曲唑片
ā ní xī tǎn piàn	阿尼西坦片
ā pǔ lín dìng piàn	阿普林定片
ā pǔ zuò lún piàn	阿普唑侖片
ā qí méi sù piàn	阿奇黴素片
ā sī dài yīn piàn	阿司待因片
ā sī mī zuò piàn	阿司咪唑片
ā sī pǐ lín piàn	阿司匹林片
ā sī pǐ lín sàn	阿司匹林散
ā tì luò ěr piàn	阿替洛爾片
ā wèi bā wèi wán	阿魏八味丸
ā wèi huà pǐ gāo	阿魏化痞膏
ā wèi suān nà piàn	阿魏酸鈉片
ā xī luò wéi piàn	阿昔洛韋片
ā zuǒ sāi mǐ piàn	阿佐塞米片
ài dì běn kūn piàn	艾地苯醌片
ài fù nuǎn gōng wán	艾附暖宮丸
ài luò sōng ruǎn gāo	艾洛鬆軟膏
ài pǔ liè tè piàn	愛普列特片
ài sī zuò lún piàn	艾司唑侖片
ān bèi lǜ ǎn piàn	安貝氯銨片
ān běn dié dìng piàn	氨苯蝶啶片
ān běn wěi má piàn	氨苯僞麻片
ān biàn dú méi sù	氨苄毒黴素
ān biàn pài tì dìng	氨苄哌替啶
ān biàn qīng méi sù	氨苄青黴素
ān biàn xī lín nà	氨苄西林鈉
ān biàn xī lín piàn	氨苄西林片
ān biàn xī lín shuān	氨苄西林栓
ān bó lǜ dìng piàn	安搏律定片
ān dá fēn rǔ gāo	安達芬乳膏
ān duō lín jiāo náng	安多霖膠囊
ān ěr mián táng jiāng	安爾眠糖漿
ān ér níng kē lì	安兒寧顆粒
ān fēi kā mǐn piàn	氨啡咖敏片
ān fēi lā tóng piàn	安非拉酮片
ān fēn bā tuǒ piàn	氨酚巴妥片
ān fēn dài yīn piàn	氨酚待因片
ān fēn kā mǐn piàn	氨酚咖敏片
ān fēn lā míng piàn	氨酚拉明片
ān fēn qǔ má piàn	氨酚曲麻片
ān fēn wěi má piàn	氨酚偽麻片
ān gōng jiàng yā wán	安宮降壓丸
ān gōng niú huáng piàn	安宮牛黃片
ān gōng niú huáng sàn	安宮牛黃散
ān jī dié lìng piàn	氨基蝶呤片
ān jī jǐ suān piàn	氨基己酸片
ān jiǎ běn suān piàn	氨甲苯酸片
ān jiǎ huán suān piàn	氨甲環酸片
ān jiǎ huán suān piàn	氨鉀環酸片
ān kā huáng mǐn piàn	氨咖黃敏片
ān kā liǔ àn piàn	氨咖柳胺片
ān kǎi shū kē lì	安凱舒顆粒
ān kāng xīn jiāo náng	安康欣膠囊
ān kūn zàn yù wán	安坤贊育丸
ān lì dī ěr yè	安利滴耳液
ān lǔ mǐ tè piàn	氨魯米特片
ān luò fēng shī líng	安絡風濕靈
ān luò huà xiān wán	安絡化纖丸
ān luò tòng jiāo náng	安絡痛膠囊
ān luò tòng jìn gāo	安絡痛浸膏
ān lǜ dì píng piàn	氨氯地平片
ān má měi mǐn piàn	氨麻美敏片
ān nǎo niú huáng piàn	安腦牛黃片
ān niào tōng jiāo náng	安尿通膠囊
ān shén bǎo kē lì	安神寶顆粒
ān shén bǔ nǎo piàn	安神補腦片
ān shén bǔ nǎo yè	安神補腦液
ān shén bǔ qì wán	安神補氣丸
ān shén bǔ xīn piàn	安神補心片
ān shén bǔ xīn wán	安神補心丸
ān shén dìng zhì wán	安神定志丸
ān shén jiàn nǎo yè	安神健腦液
ān shén yǎng xīn wán	安神養心丸
ān shén yì nǎo wán	安神益腦丸
ān sòu huà tán wán	安嗽化痰丸
ān suō luò hé jì	氨羧絡合劑
ān tā zuò lín piàn	安他唑啉片
ān tāi yì mǔ wán	安胎益母丸
ān tè ěr jiāo wán	安特爾膠丸
ān tì kě jiāo náng	安替可膠囊
ān wèi yáng jiāo náng	安胃瘍膠囊
ān wèi zhǐ tòng sàn	安胃止痛散
ān xiān xīn ān piàn	氨酰心安片
ān yáng gù běn gāo	安陽固本膏
ān yáng jīng zhì gāo	安陽精製膏
ān yù měi má piàn	氨愈美麻片
áng dān sī qióng piàn	昂丹司瓊片
áo dōng zhuàng shèn wán	敖東壯腎丸
ào fēn xiù ǎn piàn	奧芬溴銨片
ào fó lín jiāo náng	奧佛林膠囊
ào kǎ xī píng piàn	奧卡西平片
ào lā mǐ tè piàn	奧拉米特片
ào shā lā qín nà	奧沙拉秦鈉
ào shā pǔ qín piàn	奧沙普嗪片
ào shā pǔ qín piàn	奧沙普秦片
ào shā xī pàn piàn	奧沙西泮片
ào shā xī yáng piàn	奧沙西洋片
ào tài lè jiāo náng	澳泰樂膠囊
ào tài lè kē lì	澳泰樂顆粒
ào xī bù níng piàn	奧昔布寧片
ào xī fēi jūn piàn	奧昔非君片
bā ān xī lín piàn	巴氨西林片
bā bǎo bō yún sàn	八寶撥雲散
bā bǎo kūn shùn wán	八寶坤順丸
bā bǎo ruì shēng wán	八寶瑞生丸
bā bǎo yù shū wán	八寶玉樞丸
bā bǎo zhì hóng wán	八寶治紅丸
bá dú shēng jī sàn	拔毒生肌散
bā gàn kǒu fú yè	巴幹口服液
bā jǐ bǔ shèn wán	巴戟補腎丸
bǎ jī dàn dǎ sàn	把雞蛋打散
bā jǐ kǒu fú yè	巴戟口服液
bā kǎn xī lín piàn	巴坎西林片
bā liǔ dàn nà piàn	巴柳氮鈉片
bā lóng méi sù piàn	巴龍黴素片
bā tè fēn chá jì	巴特芬搽劑
bā wèi ān níng sàn	八味安寧散
bā wèi chén xiāng sàn	八味沉香散
bā wèi chén xiāng wán	八味沉香丸
bā wèi dì huáng wán	八味地黃丸
bā wéi gài xīn piàn	八維鈣鋅片
bā wèi qín pí wán	八味秦皮丸
bā wèi sān xiāng sàn	八味三香散
bā wèi shèn qì wán	八味腎氣丸
bā wèi shí liú sàn	八味石榴散
bā wèi tán xiāng sàn	八味檀香散
bā wèi tán xiāng wán	八味檀香丸
bā wèi tòng jīng piàn	八味痛經片
bā wèi xī lèi sàn	八味錫類散
bā wèi zhǔ yào sàn	八味主藥散
bā xiān cháng shòu wán	八仙長壽丸
bá yún fù guāng sàn	拔雲復光散
bā zhēn yì mǔ piàn	八珍益母片
bā zhèng kǒu fú yè	八正口服液
bǎi bǎo dān chá jì	百寶丹搽劑
bǎi bǔ zēng lì wán	百補增力丸
bái dài jìng jiāo náng	白帶淨膠囊
bái dài wán shuǐ wán	白帶丸水丸
bǎi dì zī yīn wán	百地滋陰丸
bǎi hé gù jīn piàn	百合固金片
bǎi hé gù jīn wán	百合固金丸
bái hǔ huó luò gāo	白虎活絡膏
bǎi huā dìng chuǎn piàn	百花定喘片
bǎi huā dìng chuǎn wán	百花定喘丸
bǎi huáng jìng shén wán	柏黃靜神丸
bǎi ké jìng kē lì	百咳靜顆粒
bǎi ké jìng táng jiāng	百咳靜糖漿
bǎi ké níng kē lì	百咳寧顆粒
bái kòu tiáo zhōng wán	白蔻調中丸
bǎi lè mián jiāo náng	百樂眠膠囊
bái pú huáng jiāo náng	白蒲黃膠囊
bǎi yǎng xiāo rǔ gāo	百癢消乳膏
bǎi yì ruǎn jiāo náng	百益軟膠囊
bái yù huà tán wán	白玉化痰丸
bái zhǐ hù xīn sàn	白芷護心散
bái zhú ān wèi sàn	白朮安胃散
bái zhú sháo yào sàn	白朮芍藥散
bái zhú sháo yào tāng	白朮芍藥湯
bǎi zǐ yǎng xīn piàn	柏子養心片
bǎi zǐ yǎng xīn wán	柏子養心丸
bǎi zǐ zī xīn wán	柏子滋心丸
bàn gù tǐ zhì jì	半固體製劑
bǎn lán gēn chōng jì	板藍根沖劑
bǎn lán gēn chōng jì	板蘭根沖劑
bǎn lán gēn dī wán	板藍根滴丸
bǎn lán gēn kē lì	板藍根顆粒
bǎn lán gēn kē lì	板蘭根顆粒
bān máo sù rǔ gāo	斑蝥素乳膏
bān máo sù rǔ gāo	班蝥素乳膏
bān máo suān nà piàn	斑蝥酸鈉片
bàn xià fú shén sàn	半夏茯神散
bàn xià gān jiāng sàn	半夏乾薑散
bàn xià lù chōng jì	半夏露沖劑
bàn xià lù kē lì	半夏露顆粒
bàn xià lù táng jiāng	半夏露糖漿
bàn xià má huáng wán	半夏麻黃丸
bǎo ān wàn líng wán	保安萬靈丸
bǎo bao lè kē lì	寶寶樂顆粒
bǎo bao niú huáng sàn	寶寶牛黃散
bǎo chǎn wú yōu sàn	保產無憂散
bǎo ér ān chōng jì	保兒安沖劑
bǎo ér ān kē lì	保兒安顆粒
bǎo er kāng táng jiāng	寶兒康糖漿
bǎo ér níng kē lì	保兒寧顆粒
bǎo ér níng táng jiāng	保兒寧糖漿
bǎo gān kǒu fú yè	保肝口服液
bào gǔ huó luò wán	豹骨活絡丸
bào gǔ zhuī fēng gāo	豹骨追風膏
bǎo hé jǔ jué piàn	保和咀嚼片
bǎo hé kǒu fú yè	保和口服液
bǎo hé nóng suō wán	保和濃縮丸
bǎo hé wán shuǐ wán	保和丸水丸
bǎo jì kǒu fú yè	保濟口服液
bǎo jì nóng suō wán	保濟濃縮丸
bǎo ké níng kē lì	寶咳寧顆粒
bǎo ké níng táng jiāng	寶咳寧糖漿
bǎo lì ěr jiāo náng	保利爾膠囊
bǎo mù míng yǎn yè	保目明眼液
bǎo tāi wú yōu piàn	保胎無憂片
bǎo tāi wú yōu sàn	保胎無憂散
bǎo tóng huà tán wán	保童化痰丸
bǎo xīn níng jiāo náng	保心寧膠囊
bǎo yīng duó mìng sàn	保嬰奪命散
bǎo zhēn xiàng jiāo gāo	寶珍橡膠膏
bèi ēn fēn sǎn piàn	倍恩分散片
bèi měi lì ruǎn gāo	倍美力軟膏
bèi mǐn wěi má piàn	貝敏偽麻片
bèi mǔ èr dōng gāo	貝母二冬膏
bèi mǔ guā lóu sàn	貝母瓜蔞散
bèi nà pǔ lì piàn	貝那普利片
bèi nà tì qín piàn	貝那替嗪片
běi qí wǔ jiā piàn	北芪五加片
bèi tā lè kè piàn	倍他樂克片
bèi tā mǐ sōng piàn	倍他米松片
bèi tā sī tīng piàn	倍他司汀片
běn bā bǐ tuǒ piàn	苯巴比妥片
běn bǐng ān zhǐ piàn	苯丙氨酯片
běn fēn dī ěr yè	苯酚滴耳液
běn fēn wěi má piàn	苯酚僞麻片
běn hǎi lā míng piàn	苯海拉明片
běn huán rén zhǐ piàn	苯環壬酯片
běn jiǎ tuō pǐn piàn	苯甲托品片
běn kǎ tè luó piàn	苯卡特羅片
běn qiǎng jiǎ àn piàn	苯羥甲胺片
běn shì biē jiǎ wán	本事鱉甲丸
běn tuǒ yīng nà piàn	苯妥英鈉片
běn wù chún jiāo wán	苯芴醇膠丸
běn xiù mǎ lóng piàn	苯溴馬隆片
běn yǐ pài dìng piàn	苯已哌定片
běn yǐ shuāng guā piàn	苯乙雙胍片
běn zhā bèi tè piàn	苯扎貝特片
bǐ bài kè jiāo náng	比拜克膠囊
bǐ fū qīng méi sù	吡呋青黴素
bì jiě fēn qīng wán	萆解分清丸
bǐ kǎ lǔ àn piàn	比卡魯胺片
bǐ lā xī tǎn piàn	吡拉西坦片
bǐ luó xī kāng piàn	吡羅昔康片
bì měi dòu kòu piàn	鉍鎂豆蔻片
bí mǐn dī bí yè	鼻敏滴鼻液
bí níng pēn wù jì	鼻寧噴霧劑
bǐ qín bǐ àn piàn	吡嗪吡胺片
bǐ qín xiān àn piàn	吡嗪酰胺片
bǐ shā kě dìng piàn	比沙可啶片
bí shū kǒu fú yè	鼻舒口服液
bǐ suǒ luò ěr piàn	比索洛爾片
bí tōng dī bí yè	鼻通滴鼻液
bì tòng níng jiāo náng	痹痛寧膠囊
bì xiè fēn qīng wán	萆薢分清丸
bí yán níng chōng jì	鼻炎寧沖劑
bí yán níng jiāo náng	鼻炎寧膠囊
bí yán níng kē lì	鼻炎寧顆粒
bí yuān kǒu fú yè	鼻淵口服液
bí yuān shū jiāo náng	鼻淵舒膠囊
biàn fú sāi qín piàn	苄氟噻嗪片
biàn jī fēn tài ní	苄基芬太尼
biàn jī qīng méi sù	苄基青黴素
biàn mì shū jiāo náng	便秘舒膠囊
biàn pǔ dì ěr piàn	苄普地爾片
biàn xīng qīng méi sù	苄星青黴素
biǎo rè qīng kē lì	表熱清顆粒
biē lóng ruǎn gān piàn	鱉龍軟肝片
bīng cù suān tú jì	冰醋酸塗劑
bìng dú yàng kē lì	病毒樣顆粒
bǐng kǎ tè luó piàn	丙卡特羅片
bīng láng qī wèi wán	檳榔七味丸
bīng láng sì xiāo piàn	檳榔四消片
bīng láng sì xiāo wán	檳榔四消丸
bīng lián dī ěr jì	冰連滴耳劑
bǐng liú mī zuò piàn	丙硫咪唑片
bīng méi shàng qīng wán	冰梅上清丸
bīng péng yān hóu sàn	冰硼咽喉散
bīng shuāng méi sū wán	冰霜梅蘇丸
bǐng wù suān měi piàn	丙戊酸鎂片
bǐng wù suān nà piàn	丙戊酸鈉片
bǐng wù xiān àn piàn	丙戊酰胺片
bǐng yǎng ān fēn piàn	丙氧氨酚片
bǐng yǎng pǐ lín piàn	丙氧匹林片
bó bèi kè kē lì	伯貝克顆粒
bó ěr níng jiāo náng	博爾寧膠囊
bó gǔ fēng shī jiǔ	駁骨風濕酒
bō yún tuì yì wán	撥雲退翳丸
bǔ fèi xiāo zhǒng wán	補肺消腫丸
bù lèi dí níng piàn	布累迪寧片
bù liè wěi má piàn	布劣僞麻片
bù luò fēn chá jì	布洛芬搽劑
bù luò fēn dī jì	布洛芬滴劑
bù luò wěi má piàn	布洛偽麻片
bù měi tā ní piàn	布美他尼片
bǔ nǎo ān shén piàn	補腦安神片
bǔ pí xiāo shí piàn	補脾消食片
bǔ pí yì cháng wán	補脾益腸丸
bǔ qì kǒu fú yè	補氣口服液
bǔ qì shēng tí piàn	補氣升提片
bǔ shēn ān xīn wán	補身安心丸
bǔ shèn bān lóng piàn	補腎斑龍片
bǔ shèn fáng chuǎn piàn	補腎防喘片
bǔ shèn gù chǐ wán	補腎固齒丸
bǔ shèn jiàn gǔ wán	補腎健骨丸
bǔ shèn qiáng shēn piàn	補腎強身片
bǔ shèn qū dú wán	補腎祛毒丸
bǔ shèn tián jīng wán	補腎填精丸
bǔ shèn xiāo shí piàn	補腎消食片
bǔ shèn yǎng xuè wán	補腎養血丸
bǔ shèn yì jīng wán	補腎益精丸
bǔ shèn yì nǎo piàn	補腎益腦片
bǔ shèn yì nǎo wán	補腎益腦丸
bǔ shèn yì shòu piàn	補腎益壽片
bǔ shèn zhù yáng wán	補腎助陽丸
bǔ tǐ yì zhì jì	補體抑制劑
bǔ xuè cuī shēng wán	補血催生丸
bǔ xuè níng shén piàn	補血寧神片
bǔ xuè tiáo jīng piàn	補血調經片
bǔ yì dì huáng wán	補益地黃丸
bǔ yì huó luò wán	補益活絡丸
bǔ yì jí lí wán	補益蒺藜丸
bǔ yì niú xī wán	補益牛膝丸
bǔ yì qiáng xīn piàn	補益強心片
bǔ yì zī shēng wán	補益資生丸
bǔ zhèng xù gǔ wán	補正續骨丸
bǔ zhōng yì qì gāo	補中益氣膏
bǔ zhōng yì qì piàn	補中益氣片
bǔ zhōng yì qì wán	補中益氣丸
cǎi lì kǒu fú yè	採力口服液
cān bèi běi guā gāo	參貝北瓜膏
cān bèi ké chuǎn wán	參貝咳喘丸
cān chái gān kāng piàn	參柴肝康片
cān dé lì táng jiāng	參德力糖漿
cán é gōng bǔ piàn	蠶蛾公補片
cān fù qiáng xīn wán	參附強心丸
cān fù zhù shè yè	參附註射液
cān guì lǐ zhōng wán	參桂理中丸
cān guì tiáo jīng wán	參桂調經丸
cān guì yǎng róng wán	參桂養榮丸
cān guī yǎng xuè piàn	參歸養血片
cān guì zài zào wán	參桂再造丸
cān hǔ jiě dú wán	參虎解毒丸
cān jīng gù běn wán	參精固本丸
cān jīng zhǐ kě wán	參精止渴丸
cān lán kǒu fú yè	參藍口服液
cān líng jiàn ér gāo	參苓健兒膏
cān líng jiàn tǐ fěn	參苓健體粉
cān líng lán jiāo náng	參靈藍膠囊
cān lóng yǎng xuè gāo	參龍養血膏
cán lù kǒu fú yè	蠶鹿口服液
cān lù qiáng shēn wán	參鹿強身丸
cān mài dì huáng wán	參麥地黃丸
cān mài liù wèi wán	參麥六味丸
cān mài zhù shè yè	參麥注射液
cān qǐ dù zhòng wán	參杞杜仲丸
cān qǐ jiàng táng piàn	參杞降糖片
cān qǐ jiàng táng wán	參杞降糖丸
cān qǐ quán lù wán	參杞全鹿丸
cān qī sàn jié wán	參七散結丸
cān qí yì fèi wán	參芪益肺丸
cān qín bái zhú sǎn	參芩白朮散
cān shè huó luò wán	參麝活絡丸
cān shù jiàn pí wán	參術健脾丸
cān sū gǎn chāng piàn	參蘇感昌片
cān sū gǎn mào piàn	參蘇感冒片
cān sū xuān fèi wán	參蘇宣肺丸
cān wēi kǒu fú yè	參威口服液
cān xiōng zhù shè yè	參芎注射液
cān zhú jīng kē lì	參竹精顆粒
cān zǐ kǒu fú yè	參子口服液
cāng é bí yán piàn	蒼鵝鼻炎片
cāng fù dǎo tán wán	蒼附導痰丸
cáng jiàng zhī jiāo náng	藏降脂膠囊
cāng lián gǎn mào piàn	蒼蓮感冒片
cáng qié liú jìn gāo	藏茄流浸膏
cāng xīn qì wù jì	蒼辛氣霧劑
cāng yí dī bí yè	蒼夷滴鼻液
cáng yīn chén jiāo náng	藏茵陳膠囊
cáng yīn chén kē lì	藏茵陳顆粒
cǎo wū jiǎ sù piàn	草烏甲素片
chá běn hǎi míng piàn	茶苯海明片
chá jiǎn huǎn shì piàn	茶鹼緩釋片
chá jiǎn kòng shì piàn	茶鹼控釋片
chá jiǎn zhù shè yè	茶鹼注射液
chá xīn nà mǐn piàn	茶新那敏片
chái cí dì huáng wán	柴磁地黃丸
chái gé píng wèi sàn	柴葛平胃散
chái hú mài dōng sàn	柴胡麥冬散
chái hú méi lián sàn	柴胡梅連散
chái hú qīng gān sàn	柴胡清肝散
