ā yóu qiān	錒鈾鉛
diǎn suān bèi	碘酸鋇
diǎn suān lǔ	碘酸鑥
diǎn suān nǚ	碘酸釹
diǎn suān pǒ	碘酸鉕
diǎn suān pǔ	碘酸鐠
diǎn suān rú	碘酸銣
diǎn suān sè	碘酸銫
diǎn suān shān	碘酸釤
diǎn suān sī	碘酸鍶
diǎn suān tè	碘酸鋱
diǎn suān yì	碘酸鐿
diǎn suān yǐ	碘酸釔
diǎn suān yīn	碘酸銦
diǎn suān yǒu	碘酸銪
diǎn wū dēng	碘鎢燈
dié dàn bèi	疊氮鋇
dié dàn běn	疊氮苯
dīng běn jiāo	丁苯膠
dīng běn tài	丁苯酞
dīng èr àn	丁二胺
dīng èr chún	丁二醇
dīng èr jīng	丁二腈
dīng èr quán	丁二醛
dīng èr quē	丁二炔
dīng èr suān	丁二酸
dīng èr tóng	丁二酮
dīng èr wò	丁二肟
dīng èr xī	丁二烯
dīng jī běn	丁基苯
dīng jī lǐ	丁基鋰
dīng jī lǜ	丁基氯
dīng jī mí	丁基醚
dīng jī niào	丁基脲
dīng jī xiù	丁基溴
dīng quán suān	丁醛酸
dīng quán táng	丁醛糖
dīng quán wò	丁醛肟
dīng quē chún	丁炔醇
dīng quē lǐ	丁炔鋰
dīng quē suān	丁炔酸
dīng suān ǎn	丁酸銨
dīng suān bèi	丁酸鋇
dīng suān gài	丁酸鈣
dīng suān gān	丁酸酐
dīng suān nà	丁酸鈉
dīng suān yán	丁酸鹽
dīng suān zhǐ	丁酸酯
dīng tóng suān	丁酮酸
dīng tóng táng	丁酮糖
dīng tóng wēi	丁酮威
dīng tóng wò	丁酮肟
dīng wán qì	丁烷氣
dīng xī àn	丁烯胺
dīng xī chún	丁烯醇
dīng xī chún	丁硒醇
dīng xī jī	丁烯基
dīng xī jīng	丁烯腈
dīng xī qiǎng	丁烯羥
dīng xī quán	丁烯醛
dīng xī quē	丁烯炔
dīng xī suān	丁烯酸
dīng xī tóng	丁烯酮
dīng xiān àn	丁酰胺
dīng xiān běn	丁酰苯
dīng xiān lǜ	丁酰氯
dòng lì běn	動力苯
dù wǎ běn	杜瓦苯
duì běn kūn	對苯醌
duō lǜ nài	多氯萘
duò xìng yóu	惰性鈾
é yī kuàng	鋨銥礦
èr běn àn	二苯胺
èr běn bìng	二苯并
èr běn ēn	二苯蒽
èr běn fēn	二苯酚
èr běn fēng	二苯碸
èr běn gè	二苯鉻
èr běn gǒng	二苯汞
èr běn guā	二苯胍
èr běn jī	二苯基
èr běn jǐng	二苯肼
èr běn mí	二苯醚
èr běn niào	二苯脲
èr běn tóng	二苯酮
èr diǎn běn	二碘苯
èr fú àn	二氟胺
èr fú běn	二氟苯
èr jiǎ běn	二甲苯
èr lǔ běn	二滷苯
èr lǜ àn	二氯胺
èr lǜ běn	二氯苯
èr lǜ fēn	二氯酚
èr lǜ huà	二氯化
èr lǜ nài	二氯萘
èr lǜ sōng	二氯松
èr xī tǐ	二烯體
èr xī tīng	二烯烴
èr xī tóng	二烯酮
èr xī zhí	二烯值
èr xiān àn	二酰胺
èr xiān lǜ	二酰氯
èr xiāo fēn	二硝酚
èr xiāo jī	二硝基
èr xiù běn	二溴苯
èr xiù dīng	二溴丁
èr xiù ēn	二溴蒽
èr xiù fēn	二溴酚
èr xiù huà	二溴化
èr xiù lín	二溴磷
èr xiù nài	二溴萘
èr xiù quán	二溴醛
èr yà àn	二亞胺
èr yǎng huà	二氧化
èr yǎng jī	二氧基
èr yǎng qǐ	二氧芑
èr yǎng zá	二氧雜
èr yǐ àn	二乙胺
èr yǐ běn	二乙苯
èr yǐ fēng	二乙碸
èr yǐ jī	二乙基
èr yǐ jǐng	二乙肼
èr yǐ mí	二乙醚
èr yǐ niào	二乙脲
èr yǐ suān	二乙酸
èr yǐ tóng	二乙酮
èr yǐ xī	二乙烯
fán suān nǚ	釩酸釹
fán suān yǐ	釩酸釔
fán yóu kuàng	釩鈾礦
fāng tī kuàng	方銻礦
fāng tǔ shí	方釷石
fāng yóu kuàng	方鈾礦
fú běn àn	氟苯胺
fú běn fēn	氟苯酚
fú běn jī	氟苯基
fú diǎn běn	氟碘苯
fú fú běn	氟氟苯
fù hán xī	富含硒
fú huà ā	氟化錒
fú huà ǎn	氟化銨
fú huà bǎ	氟化鈀
fú huà bèi	氟化鋇
fú huà běn	氟化苯
fú huà bì	氟化鉍
fú huà biàn	氟化苄
fú huà bù	氟化鈈
fú huà dàn	氟化氮
fú huà dì	氟化碲
fú huà dī	氟化鏑
fú huà diǎn	氟化碘
fú huà ěr	氟化鉺
fú huà fán	氟化釩
fú huà gá	氟化釓
fú huà gài	氟化鈣
fú huà gào	氟化鋯
fú huà gè	氟化鉻
fú huà gé	氟化鎘
fú huà gǒng	氟化汞
fú huà gǔ	氟化鈷
fú huà guī	氟化硅
fú huà huǒ	氟化鈥
fú huà jiǎ	氟化鉀
fú huà jiā	氟化鎵
fú huà jīn	氟化金
fú huà jū	氟化鋦
fú huà kāi	氟化鐦
fú huà kàng	氟化鈧
fú huà kè	氟化氪
fú huà lái	氟化錸
fú huà lán	氟化鑭
fú huà lǎo	氟化銠
fú huà léi	氟化鐳
fú huà lǐ	氟化鋰
fú huà lǔ	氟化鑥
fú huà lǚ	氟化鋁
fú huà měi	氟化鎂
fú huà méi	氟化鎇
fú huà měng	氟化錳
fú huà mù	氟化鉬
fú huà nà	氟化鈉
fú huà ní	氟化鈮
fú huà niè	氟化鎳
fú huà nǚ	氟化釹
fú huà péi	氟化鉳
fú huà péng	氟化硼
fú huà pī	氟化鈹
fú huà píng	氟化瓶
fú huà pǒ	氟化鉕
fú huà qiān	氟化鉛
fú huà qīng	氟化氫
fú huà qíng	氟化氰
fú huà rú	氟化銣
fú huà sè	氟化銫
fú huà shān	氟化釤
fú huà shēn	氟化砷
fú huà sī	氟化鍶
fú huà tā	氟化鉈
fú huà tàn	氟化碳
fú huà tǎn	氟化鉭
fú huà tè	氟化鋱
fú huà tī	氟化銻
fú huà tiě	氟化鐵
fú huà tóng	氟化銅
fú huà tǔ	氟化釷
fú huà wù	氟化物
fú huà wū	氟化鎢
fú huà xī	氟化矽
fú huà xī	氟化錫
fú huà xiān	氟化氙
fú huà xīn	氟化鋅
fú huà xiù	氟化溴
fú huà yǎng	氟化氧
fú huà yǐ	氟化釔
fú huà yī	氟化銥
fú huà yì	氟化鐿
fú huà yín	氟化銀
fú huà yīn	氟化銦
fú huà yóu	氟化鈾
fú huà yǒu	氟化銪
fù jí yóu	富集鈾
fú jiǎ běn	氟甲苯
fú lǐ pī	氟鋰鈹
fú lián běn	氟聯苯
fú lǜ áng	氟氯昂
fú lǜ běn	氟氯苯
fú lǜ tàn	氟氯碳
fú lǜ tīng	氟氯烴
fú lǜ wán	氟氯烷
fú shì kuàng	氟鈰礦
fú tǎn suān	氟鉭酸
fú tī suān	氟銻酸
fù xī chá	富硒茶
fù xī mǐ	富硒米
fú xī suān	氟硒酸
gài wū kuàng	鈣鎢礦
gài yóu kuàng	鈣鈾礦
gāo chún lǜ	高純氯
gāo lǜ méi	高氯煤
gào tǎn kuàng	鋯鉭礦
gè mù gāng	鉻鉬鋼
gè suān bèi	鉻酸鋇
gè suān pī	鉻酸鈹
gè suān sè	鉻酸銫
gè suān sī	鉻酸鍶
gè xiān lǜ	鉻酰氯
gēng xiān lǜ	庚酰氯
guī bèi shí	硅鋇石
guī huà tè	硅化鋱
guī jī běn	硅基苯
guī lǜ fǎng	硅氯仿
guī pī shí	硅鈹石
guī shì shí	硅鈰石
guī suān bèi	硅酸鋇
guī suān pī	硅酸鈹
guī suān sī	硅酸鍶
guī tǔ shí	硅釷石
guī wū suān	硅鎢酸
guǐ xiān lǜ	癸酰氯
guī yóu kuàng	硅鈾礦
guī zá běn	硅雜苯
guò běn suān	過苯酸
guò lǜ suān	過氯酸
hā suān bèi	鉿酸鋇
hā suān sī	鉿酸鍶
hán shēn de	含砷的
hán yóu liàng	含鈾量
hào lǜ liàng	耗氯量
hè tā kuàng	褐鉈礦
hēi wū kuàng	黑鎢礦
hóng tā kuàng	紅鉈礦
hóng tī kuàng	紅銻礦
hóng yǐ kuàng	紅釔礦
hóng yóu kuàng	紅鈾礦
huán běn àn	環苯胺
huán lǜ guā	環氯胍
huáng àn bèi	磺胺鋇
huáng tī huá	黃銻華
huáng tī kuàng	黃銻礦
huáng xiān lǜ	磺酰氯
huī mù kuàng	輝鉬礦
huī tī kuàng	輝銻礦
huī tī kuàng	灰銻礦
huī wū kuàng	輝鎢礦
huó xìng yóu	活性鈾
jǐ xiān lǜ	己酰氯
jiǎ běn àn	甲苯胺
jiǎ běn fēn	甲苯酚
jiǎ běn jī	甲苯基
jiǎ běn kūn	甲苯醌
jiǎ běn lán	甲苯藍
jiǎ chún tǎn	甲醇鉭
jiǎ fú kuí	甲氟喹
jiǎ jī běn	甲基苯
jiǎ jī chéng	甲基橙
jiǎ jī diǎn	甲基碘
jiǎ jī dīng	甲基丁
jiǎ jī ēn	甲基蒽
jiǎ jī gǒng	甲基汞
jiǎ jī hóng	甲基紅
jiǎ jī huà	甲基化
jiǎ jī huáng	甲基黃
jiǎ jī jǐ	甲基己
jiǎ jī jiǎ	甲基鉀
jiǎ jī jǐng	甲基肼
jiǎ jī lán	甲基藍
jiǎ jī lǐ	甲基鋰
jiǎ jī lìn	甲基膦
jiǎ jī lǜ	甲基氯
jiǎ jī lǜ	甲基綠
jiǎ jī mí	甲基醚
jiǎ jī nài	甲基萘
jiǎ jī niào	甲基脲
jiǎ jī qū	甲基䓛
jiǎ jī shèn	甲基胂
jiǎ jī xiù	甲基溴
jiǎ jī zhì	甲基質
jiǎ jī zǐ	甲基紫
jiǎ jī zú	甲基族
jiǎ lǜ fǎng	甲氯仿
jiā qīng běn	加氫苯
jiǎ suān bèi	甲酸鋇
jiǎ suān lǔ	甲酸鑥
jiǎ suān nǚ	甲酸釹
jiǎ suān pī	甲酸鈹
jiǎ suān rú	甲酸銣
jiǎ suān sè	甲酸銫
jiǎ suān shān	甲酸釤
jiǎ suān sī	甲酸鍶
jiǎ suān tā	甲酸鉈
jiǎ suān tǔ	甲酸釷
jiǎ suān yǐ	甲酸釔
jiǎ suān yīn	甲酸銦
jiǎ suān yóu	甲酸鈾
jiǎ wán àn	甲烷胺
jiǎ wán bīng	甲烷冰
jiǎ wán chún	甲烷醇
jiǎ wán hú	甲烷湖
jiǎ wán huà	甲烷化
jiǎ wán jūn	甲烷菌
jiǎ wán shuǐ	甲烷水
jiǎ xī chún	甲硒醇
jiǎ xī lán	甲烯藍
jiǎ xiān àn	甲酰胺
jiǎ xiān fú	甲酰氟
jiǎ xiān jī	甲酰基
jiǎ xiān jǐng	甲酰肼
jiǎ xiān qíng	甲酰氰
jiǎ xiāo cuò	甲硝銼
jiǎ xiāo cuǒ	甲硝脞
jiǎ xiāo zuò	甲硝唑
jiǎ yà àn	甲亞胺
jiǎ yǎng běn	甲氧苯
jiǎ yǎng jī	甲氧基
jiǎ yǐ àn	甲乙胺
jiǎ yǐ bǐng	甲乙丙
jiǎ yì diàn	甲異靛
jiǎ yǐ jí	甲乙級
jiǎ yǐ jīng	甲乙經
jiǎ yǐ lèi	甲乙類
jiǎ yǐ mí	甲乙醚
jiǎ yǐ mù	甲乙木
jiǎ yǐ sì	甲乙寺
jiǎ yǐ tóng	甲乙酮
jiǎ yǐ zhì	甲乙制
jiǎ yǐ zǔ	甲乙組
jiǎ zhě wán	甲鍺烷
jiāo shēn suān	焦砷酸
jiāo tī suān	焦銻酸
jīn shǔ pī	金屬鈹
jīn shǔ shēn	金屬砷
jīn shǔ tā	金屬鉈
jīn shǔ tī	金屬銻
jīn shǔ wū	金屬鎢
jīn shǔ yóu	金屬鈾
jǐng chēng běn	肼撐苯
jīng yóu kuàng	晶鈾礦
jù běn àn	聚苯胺
jù běn bǎn	聚苯板
jù běn mí	聚苯醚
jù xiān lǜ	聚酰氯
kāng lǜ suān	糠氯酸
kàng suān pǔ	鈧酸鐠
kāng xiān lǜ	糠酰氯
kàng yǐ shí	鈧釔石
kě lǜ dān	可氯丹
kē tǎn kuàng	鈳鉭礦
kē xìng jiǎn	苛性鹼
kǔ jī lǜ	苦基氯
kuí lín huáng	喹啉黃
kuí lín jī	喹啉基
kuí lín jiǎn	喹啉鹼
kuí lín lán	喹啉藍
kuí lín lèi	喹啉類
kuí lín lín	喹啉磷
kuí lín suān	喹啉酸
lán mù kuàng	藍鉬礦
lǐ pī shí	鋰鈹石
lián běn àn	聯苯胺
lián běn chún	聯苯醇
lián běn fēn	聯苯酚
lián běn jī	聯苯基
lián běn mí	聯苯醚
lián běn suān	聯苯酸
lián běn xī	聯苯烯
lián běn xiān	聯苯酰
lián èr běn	聯二苯
lián sān běn	聯三苯
liǎo hǎi mián	釕海棉
liǎo suān bèi	釕酸鋇
liǎo suān lǐ	釕酸鋰
liǎo suān sī	釕酸鍶
liǎo suān yán	釕酸鹽
liǎo yuán sù	釕元素
liǎo yuán zǐ	釕原子
lín běn kūn	鄰苯醌
lín huà bèi	磷化鋇
lín huà lǔ	磷化鑥
lín huà pǔ	磷化鐠
lín huà shì	磷化鈰
lín huà sī	磷化鍶
lín huà tè	磷化鋱
lín huà tī	磷化銻
lín huà yì	磷化鐿
lín huà yīn	磷化銦
lín mù suān	磷鉬酸
lín suān bèi	磷酸鋇
lín suān nǚ	磷酸釹
lín suān pī	磷酸鈹
lín suān pǒ	磷酸鉕
lín suān pǔ	磷酸鐠
lín suān rú	磷酸銣
lín suān sè	磷酸銫
lín suān shān	磷酸釤
lín suān shì	磷酸鈰
lín suān sī	磷酸鍶
lín suān tā	磷酸鉈
lín suān tè	磷酸鋱
lín suān tǔ	磷酸釷
lín suān yǐ	磷酸釔
lín suān yì	磷酸鐿
lín suān yǒu	磷酸銪
lín tǔ kuàng	磷釷礦
lín wū suān	磷鎢酸
lín xī lǜ	磷醯氯
lín xiān lǜ	磷酰氯
lín yǐ kuàng	磷釔礦
lín yóu kuàng	磷鈾礦
lín zá běn	磷雜苯
líng sī kuàng	菱鍶礦
líng yóu kuàng	菱鈾礦
liú bèi fěn	硫鋇粉
liú běn fēn	硫苯酚
liù dàn běn	六氮苯
liù diǎn běn	六碘苯
liù fú běn	六氟苯
liú huà bèi	硫化鋇
liú huà běn	硫化苯
liú huà nǚ	硫化釹
liú huà pī	硫化鈹
liú huà pǒ	硫化鉕
liú huà pǔ	硫化鐠
liú huà rú	硫化銣
liú huà sè	硫化銫
liú huà shān	硫化釤
liú huà shēn	硫化砷
liú huà shì	硫化鈰
liú huà sī	硫化鍶
liú huà tā	硫化鉈
liú huà tī	硫化銻
liú huà xī	硫化硒
liú huà yī	硫化銥
liú huà yì	硫化鐿
liú huà yǐ	硫化釔
liú huà yīn	硫化銦
liú huà yóu	硫化鈾
liú huà zhě	硫化鍺
liù jiǎ běn	六甲苯
liú liǎo kuàng	硫釕礦
liù lǜ běn	六氯苯
liù lǜ fēn	六氯酚
liú shēn gǔ	硫砷鈷
liú shēn kuàng	硫砷礦
liú suān ā	硫酸錒
liú suān ǎn	硫酸銨
liú suān bǎ	硫酸鈀
liú suān bèi	硫酸鋇
liú suān bì	硫酸鉍
liú suān bù	硫酸鈈
liú suān dī	硫酸鏑
liú suān diū	硫酸銩
liú suān ěr	硫酸鉺
liú suān fán	硫酸釩
liú suān gá	硫酸釓
liú suān gān	硫酸酐
liú suān gào	硫酸鋯
liú suān gè	硫酸鉻
liú suān gé	硫酸鎘
liú suān gǒng	硫酸汞
liǔ suān gǒng	柳酸汞
liú suān gǔ	硫酸鈷
liú suān guā	硫酸胍
liú suān hā	硫酸鉿
liú suān hǎi	硫酸胲
liú suān huǒ	硫酸鈥
liú suān jiǎ	硫酸鉀
liú suān jiā	硫酸鎵
liú suān jīn	硫酸金
liú suān jǐng	硫酸肼
liú suān kāi	硫酸鐦
liú suān kàng	硫酸鈧
liú suān lán	硫酸鑭
liú suān lǎo	硫酸銠
liú suān léi	硫酸鐳
liú suān lǐ	硫酸鋰
liú suān lǔ	硫酸鑥
liú suān mù	硫酸鉬
liú suān nǚ	硫酸釹
liú suān pī	硫酸鈹
liú suān pǔ	硫酸鐠
liú suān rú	硫酸銣
liú suān sè	硫酸銫
liú suān shān	硫酸釤
liú suān shì	硫酸鈰
liú suān sī	硫酸鍶
liú suān tā	硫酸鉈
liú suān tài	硫酸鈦
liú suān tài	硫酸酞
liú suān tè	硫酸鋱
liú suān tī	硫酸銻
liú suān tǔ	硫酸釷
liú suān wù	硫酸霧
liú suān xī	硫酸錫
liú suān xīn	硫酸鋅
liú suān yā	硫酸錏
liú suān yǐ	硫酸釔
liú suān yì	硫酸鐿
liú suān yīn	硫酸銦
liú suān yóu	硫酸鈾
liú suān yǒu	硫酸銪
liú xiān lǜ	硫酰氯
liù xiù běn	六溴苯
lǔ huà mù	鹵化鉬
lǔ huà ní	鹵化鈮
lǔ huà shēn	鹵化砷
lǔ huà tī	鹵化銻
lǔ huà wū	鹵化鎢
lǔ huà yīn	鹵化銦
lǔ huà yóu	鹵化鈾
lǔ huà yǒu	鹵化銪
lǔ huà zhě	鹵化鍺
lǔ wū dēng	鹵鎢燈
lǔ yuán sù	鑥元素
lǔ yuán zǐ	鑥原子
lǜ àn tóng	氯胺酮
lǜ bā zhàn	氯巴占
lǜ běn àn	氯苯胺
lǜ běn fēn	氯苯酚
lǜ běn jī	氯苯基
lǜ běn kūn	氯苯醌
lǜ běn yǎng	氯苯氧
lǜ bǐ dìng	氯吡啶
lǜ bǐ niào	氯吡脲
lǜ bǐ qín	氯吡嗪
lǜ biàn àn	氯苄胺
lǜ biàn lǜ	氯苄氯
lǜ biàn xiù	氯苄溴
lǜ bǐng chún	氯丙醇
lǜ bǐng guā	氯丙胍
lǜ bǐng jī	氯丙基
lǜ bǐng jīng	氯丙腈
lǜ bǐng qín	氯丙嗪
lǜ bǐng quē	氯丙炔
lǜ bǐng suān	氯丙酸
lǜ bǐng tóng	氯丙酮
lǜ bǐng wán	氯丙烷
lǜ bǐng xī	氯丙烯
lǜ bǐng xiān	氯丙酰
lǜ bó suān	氯鉑酸
lǜ cǎo dìng	氯草定
lǜ cè jǐng	氯測井
lǜ cuó chuāng	氯痤瘡
lǜ dài ān	氯代氨
lǜ dài běn	氯代苯
lǜ dài chún	氯代醇
lǜ dài nài	氯代萘
lǜ dài tīng	氯代烴
lǜ dài wán	氯代烷
lǜ dàn píng	氯氮平
lǜ dān zhì	氯單質
lǜ dàn zhuó	氯氮卓
lǜ dàn zhuó	氯氮䓬
lǜ diǎn běn	氯碘苯
lǜ dīng chún	氯丁醇
lǜ dīng jiāo	氯丁膠
lǜ dīng jīng	氯丁腈
lǜ dīng suān	氯丁酸
lǜ dīng tóng	氯丁酮
lǜ dīng wán	氯丁烷
lǜ ēn kūn	氯蒽醌
lǜ fán kuàng	氯釩礦
lǜ fēn hóng	氯酚紅
lǜ fēn lán	氯酚藍
lǜ fēn sōng	氯芬松
lǜ fēn zǐ	氯分子
lǜ fú tàn	氯氟碳
lǜ fú tīng	氯氟烴
lǜ gài shí	氯鈣石
lǜ gǒng kuàng	氯汞礦
lǜ guī wán	氯硅烷
lǜ guǐ wán	氯癸烷
lǜ hán liàng	氯含量
lǜ hé gān	氯核苷
lǜ huà ā	氯化錒
lǜ huà ān	氯化氨
lǜ huà bǎ	氯化鈀
lǜ huà bèi	氯化鋇
lǜ huà běn	氯化苯
lǜ huà bì	氯化鉍
lǜ huà biàn	氯化苄
lǜ huà bó	氯化鉑
lǜ huà bù	氯化鈈
lǜ huà dāo	氯化氘
lǜ huà dì	氯化碲
lǜ huà dī	氯化鏑
lǜ huà diǎn	氯化碘
lǜ huà diū	氯化銩
lǜ huà ěr	氯化鉺
lǜ huà fǎ	氯化法
lǜ huà fán	氯化釩
lǜ huà fāng	氯化鍅
lǜ huà gá	氯化釓
lǜ huà gào	氯化鋯
lǜ huà gè	氯化鉻
lǜ huà gé	氯化鎘
lǜ huà gǒng	氯化汞
lǜ huà gǔ	氯化鈷
lǜ huà guī	氯化硅
lǜ huà huǒ	氯化鈥
lǜ huà jì	氯化劑
lǜ huà jiā	氯化鎵
lǜ huà jīn	氯化金
lǜ huà jū	氯化鋦
lǜ huà kāi	氯化鐦
lǜ huà kàng	氯化鈧
lǜ huà kǔ	氯化苦
lǜ huà lán	氯化鑭
lǜ huà lǎo	氯化銠
lǜ huà léi	氯化鐳
lǜ huà lǐ	氯化鋰
lǜ huà liǎo	氯化釕
lǜ huà lín	氯化磷
lǜ huà lìn	氯化膦
lǜ huà liú	氯化硫
lǜ huà lǔ	氯化鑥
lǜ huà lǚ	氯化鋁
lǜ huà měi	氯化鎂
lǜ huà méi	氯化鎇
lǜ huà měng	氯化錳
lǜ huà mù	氯化鉬
lǜ huà niè	氯化鎳
lǜ huà nǚ	氯化釹
lǜ huà péi	氯化鉳
lǜ huà péng	氯化硼
lǜ huà pī	氯化鈹
lǜ huà pǒ	氯化鉕
lǜ huà pǔ	氯化鐠
lǜ huà qì	氯化器
lǜ huà qiān	氯化鉛
lǜ huà qíng	氯化氰
lǜ huà rú	氯化銣
lǜ huà sè	氯化銫
lǜ huà shān	氯化釤
lǜ huà shēn	氯化砷
lǜ huà shì	氯化鈰
lǜ huà sī	氯化鍶
lǜ huà tā	氯化鉈
lǜ huà tài	氯化鈦
lǜ huà tǎn	氯化鉭
lǜ huà tè	氯化鋱
lǜ huà tī	氯化銻
lǜ huà tiě	氯化鐵
lǜ huà tīng	氯化烴
lǜ huà tóng	氯化銅
lǜ huà tǔ	氯化釷
lǜ huà wū	氯化鎢
lǜ huà xī	氯化錫
lǜ huà xī	氯化硒
lǜ huà xīn	氯化鋅
lǜ huà xiù	氯化溴
lǜ huà yà	氯化亞
lǜ huà yī	氯化銥
lǜ huà yǐ	氯化釔
lǜ huà yì	氯化鐿
lǜ huà yín	氯化銀
lǜ huà yīn	氯化銦
lǜ huà yóu	氯化鈾
lǜ huà yǒu	氯化銪
lǜ huà zhě	氯化鍺
lǜ huà zhuó	氯化酌
lǜ huáng jīng	氯黃晶
lǜ huáng suān	氯磺酸
lǜ jǐ chún	氯己醇
lǜ jǐ dìng	氯己定
lǜ jí suān	氯吉酸
lǜ jǐ wán	氯己烷
lǜ jiǎ běn	氯甲苯
lǜ jiǎ jī	氯甲基
lǜ jiǎ jīng	氯甲腈
lǜ jiǎ mí	氯甲醚
