hóng huà	紅話
hū rào	忽繞
cāo jué	糙決
gè zhī	個支
hēi lán	黑蘭
chuō dá	戳達
gè dāo	個刀
dǎo xīn	導心
cā niú	擦牛
mō lāo	摸撈
méi là	沒辣
ná niàn	拿念
gè zhé	個折
duì dá	對達
shī liū èr yǎn	失溜二眼
xiā méi chù yǎn	瞎眉觸眼
diān máo chàn yǎn	顛毛顫眼
qiú méi xìng yǎn	求眉杏眼
cí méi xìng yǎn	瓷眉杏眼
náng méi fèng yǎn	囊眉鳳眼
guāng méi jùn yǎn	光眉俊眼
shū méi zhǎn yǎn	舒眉展眼
huī méi chù yǎn	灰眉觸眼
jiǎ méi xīng yǎn	假眉惺眼
pàng méi zhǒng yǎn	胖眉腫眼
jí méi bà yǎn	急眉霸眼
hóu méi wā yǎn	猴眉窪眼
lì méi bà yǎn	立眉霸眼
hēi méi wā yǎn	黑眉窪眼
sāo méi lā yǎn	騷眉垃眼
diū méi chě yǎn	丟眉扯眼
sǐ méi yáng yǎn	死眉羊眼
zéi méi shǔ yǎn	賊眉鼠眼
tǔ méi hùn yǎn	土眉混眼
tū méi shǎo yǎn	禿眉少眼
guǐ méi liù yǎn	鬼眉六眼
nǎn méi tā yǎn	揇眉塌眼
méi méi huǎng yǎn	沒眉晃眼
cí bā wǎ guān	瓷八瓦觀
huó yǎn zhuǎn sè	活眼轉色
nǎo méi hèn yǎn	惱眉恨眼
xǐ méi xiào yǎn	喜眉笑眼
cí méi shàn yǎn	慈眉善眼
jiā fēng léng zhèng	夾瘋楞症
lèng qī kǎn bā	愣七砍八
chén lǐ gē sè	陳裏圪色
jīng shuō bái dào	精說白道
diē dōng yǎo xī	跌東舀西
zè lèng sàn piān	仄愣散偏
máo fǎn dài luàn	毛反帶亂
dǎ jià gè yàn	打架各厭
chéng sè lǎn qì	成色懶氣
pī tóu gài liǎn	劈頭蓋臉
yīn qī yáng bā	陰七陽八
guǐ hū líng dīng	鬼忽零丁
zhāng bā gài jiǔ	張巴蓋九
yóu chū bǎi jìn	游出擺進
liāo māo xì gǒu	撩貓戲狗
bái pí fàn liǎn	白皮泛臉
píng bù ya chá	平不呀查
xū léng dèng jià	虛棱凳架
zī yá dǎ diào	齜牙打調
tǔ tiān wā dì	吐天窪地
dǎ yá shàn zuǐ	打牙訕嘴
zuǐ jiān máo cháng	嘴尖毛長
shǎn shēn tà qiǎn	閃深踏淺
héng jiǎo shùn shuō	橫攪順說
chéng lǐ bā sè	成裏八色
biàn méi shī liǎn	變眉失臉
wāi sān zè lèng	歪三仄愣
wa jī chǎo nào	哇嘰吵鬧
guǐ qī liè bā	鬼七裂八
yún shān wù zhào	雲山霧罩
mó bí cèng yǎng	磨鼻蹭癢
guǎ bí liù shuō	寡鼻六說
duō bí ké sòu	多鼻咳嗽
yóu bí gē jué	油鼻圪嚼
yīn yán guǐ yǔ	陰言鬼語
wǔ méi sān dào	五眉三道
qiāng chá gǔ dōng	嗆查古東
lóng qī kǎn zhèng	聾七坎症
qióng dǎ jí nào	窮打急鬧
qióng jí shēng fēng	窮急生風
qiān cū bǎ xì	牽粗把細
diē pí nòng kuǎ	跌皮弄垮
dòu dǎ shén sàn	鬥打神散
ná lóng zhuō hǔ	拿龍捉虎
máng huāng shí luàn	忙慌什亂
piāo yóu làng dàng	飄遊浪蕩
niǔ tóu bù lěi	扭頭不壘
pāi dà lái xiǎo	拍大來小
zhī tiān le dì	支天了地
shén tóu guǐ liǎn	神頭鬼臉
bā tóu shàng liǎn	扒頭上臉
bái bù lǐ zhèng	白不理正
běn bù yá chā	本不牙叉
bù yóu fēn shuǐ	不由分水
dà kǒu mǎ yá	大口馬牙
diǎn zháo chuī měi	點着吹美
dū jǐ dū dá	厾幾厾達
guǐ shēng yè qì	鬼聲夜氣
hān chī lèng hài	憨喫愣害
hēng wǔ hē liù	哼五喝六
hú zhī yě chě	胡支也扯
jí diāo wǎ qiǎng	急刁瓦搶
jiān yán zhà yǔ	尖言詐語
jiǎng jīng shuō fǎ	講經說法
shàn shàn dá dá	扇扇達達
sī yóu zuò fān	私由作翻
diē gēn qiǎng tóu	跌跟搶頭
héng tǎng shù wò	橫躺豎臥
jīng qī míng bā	精七明八
yóu qiāng huá diào	油腔滑調
rì zǔ wáng cháo	日祖王朝
gē xiǔ dǎ dàn	圪朽打蛋
shòu mǎ gē lián	瘦馬圪連
gē sī gē rěn	圪思圪忍
gē zhé bǎi shì	圪折擺勢
hū sōng yǎo dá	忽松咬沓
huō gōu dǎ yá	豁溝打牙
sǐ sōng pò dù	死松破肚
lěng qīng kè qi	冷清客氣
fān bí má yè	翻鼻麻葉
ruǎn jī gē néng	軟雞圪能
mí hu dǎ dàn	迷糊打蛋
sǐ qiú yí jì	死求一記
tū zuǐ bèn shé	禿嘴笨舌
sì dà bù āi	四大不挨
tǎo chī luàn guǐ	討吃亂鬼
shí zī lài hài	十齜賴害
ruǎn yāo liè kuǎ	軟腰裂垮
gē lián qián dàn	圪連前蛋
gē jī sàn tā	圪嘰散塌
wō jī gē náng	窩嘰圪囊
gū dú liú xì	孤獨流細
xiǎo jiā wǎ qì	小家瓦氣
fān lǐ zhé wài	翻裏折外
suān wén jiǎ cù	酸文假醋
fú pí le cǎo	浮皮了草
xiǎo yǎn bù pí	小眼簿皮
gē chōu gē chě	圪抽圪扯
zhān jǐ hú chá	粘幾糊察
mī lián hū dōu	眯連忽都
gē liè gē bā	圪列圪八
sǐ jīng gē rèn	死精圪韌
shuǎng qián tuì hòu	爽前褪後
tuī qián shuǎng hòu	推前爽後
méi máo yǎn zhā	眉毛眼扎
lā tāng mò xiàn	拉湯沫線
méi zhuō méi ná	沒捉沒拿
lā bā chě yè	拉巴扯葉
chōu yòu chōu yòu	抽柚抽柚
cuò qián mō hòu	錯前摸後
dǎ zá lào máo	打雜烙毛
āi jiě	娭毑
bǎo zuo	飽咗
dì xì	睇戲
liǎo nán	了難
liāo piē	撩撇
mái shù	埋數
nào rè	鬧熱
qià jiǔ	恰酒
wú gāi	唔該
zhèng yě	正嘢
qià dé kǔ	恰得苦
qià diǎn jiǔ	恰點酒
qià diǎn dōng xi	恰點東西
xì lī dù	系哩度
dào wū qǐ	到屋企
kā kā jiǎo jiǎo	㮟㮟角角
diān guò lù zhè	掂過碌蔗
guǒ jīn	裹筋
