ā wèi	阿魏
dà dōu	大兜
dà jǐ	大戟
dà lián	大蠊
dà mài	大麦
dà ní	大鲵
dà piáo	大薸
dà píng	大萍
dà qīng	大青
dà shāo	大蛸
dà tíng	大蜓
dà wén	大蚊
dà xiǎn	大蚬
dà yá	大蚜
dài jiǎ	带甲
dài jú	戴菊
dài láng	袋狼
dài mò	袋貘
dài shèng	戴胜
dài shī	袋狮
dài shǔ	袋鼠
dài wú	袋鼯
dài xióng	袋熊
dài yóu	带鲉
dài yú	带鱼
dàn lóng	蛋龙
dǎng shēn	党参
dāng yào	当药
dāo chēng	刀蛏
dāo dòu	刀豆
dào huáng	稻蝗
dǎo líng	岛羚
dào lóng	盗龙
dǎo què	岛雀
dǎo rán	岛蚺
dǎo shǔ	岛鼠
dǎo wú	岛鼯
dào yà	稻亚
dǎo yī	岛衣
děng chì	等翅
dēng é	灯蛾
dēng jiāng	灯鳉
děng xiē	等蝎
dí diāo	笛鲷
dì dōng	地鸫
dì guī	地龟
dì há	地蛤
dǐ jiāng	底鳉
dì jiū	地鸠
dì méi	地霉
dì què	地雀
dì sǔn	地笋
dì táng	地螳
dì tù	地兔
dì yā	地鸦
dì yuán	地猿
dì zhū	地蛛
diān lán	滇兰
diàn mán	电鳗
diàn nián	电鲶
diān qié	颠茄
diān qín	滇芹
diàn rèn	垫刃
diān tóng	滇桐
diàn yáo	电鳐
diāo é	凋蛾
diào lán	吊兰
diāo liáo	蛁蟟
diāo xióng	貂熊
diào zhāng	钓樟
diào zhōng	吊钟
dié bèi	碟贝
dié cān	蝶参
dié dòu	蝶豆
dié lán	蝶兰
dié xíng	鲽形
dié xū	蝶须
dīng guì	丁鱥
dǐng huā	顶花
dīng lì	丁蛎
dīng luó	钉螺
dīng qiàn	丁茜
dǐng wèi	顶鳚
dīng xiāng	丁香
dòng guī	洞龟
dōng jí	东急
dǒng jī	董鸡
dòng jiǎ	胴甲
dōng qīng	冬青
dōng tiān	东天
dòu bēi	斗鹎
dōu chūn	兜蝽
dòu kòu	豆蔻
dōu lí	兜藜
dòu luó	豆螺
dòu shǔ	豆薯
dòu xiè	豆蟹
dòu zú	豆足
dú cān	毒参
dǔ chán	笃蝉
dú dòu	毒豆
dú guā	毒瓜
dù juān	杜鹃
dú xī	毒蜥
dù xiāng	杜香
dù zhòng	杜仲
duàn shù	椴树
duǎn yàn	短咽
duǎn yáo	短鳐
duǎn yǐ	短蚁
duì xiā	对虾
dùn chán	盾蟾
dùn jué	盾蕨
dùn lóng	盾龙
dùn lú	钝鲈
dùn mǎng	盾蟒
dùn shé	钝蛇
dùn táng	遁螳
duō chǐ	多齿
duò jiān	舵鲣
duō ké	多壳
duō wàn	多腕
é gāo	鹅膏
è guī	鳄龟
è lí	鳄梨
é luó	蛾螺
é luó	峨螺
é nián	蛾鲶
è wèi	鳄鳚
è xī	鳄蜥
è yǒng	鳄鲬
ěr jú	耳菊
ěr jué	耳蕨
ěr mǎn	耳螨
ér miáo	鸸鹋
fǎ luó	法螺
fān bàng	帆蚌
fān jiāo	番椒
fān luó	帆螺
fán lǚ	繁缕
fān qié	番茄
fān shǔ	番薯
fān xī	帆蜥
fān xìng	番杏
fáng fēng	防风
fáng jǐ	防己
fǎng wèi	仿鳚
fèi cài	费菜
fēi huáng	飞蝗
fēi jì	非鲫
fěi lián	蜚蠊
fēi lóng	飞龙
fěi luó	榧螺
fēi shī	飞虱
fēi xī	飞蜥
fēi xíng	鲱形
fèi yī	肺衣
fèi yú	肺鱼
fēi yú	飞鱼
féi yuán	肥螈
fēi zhà	菲柞
fěn dù	粉蠹
fěn gē	粉鸽
fěn jiè	粉蚧
fěn líng	粉蛉
fèn sǎn	粪伞
fěn shī	粉虱
fén shǔ	鼢鼠
fěn téng	粉藤
fěn yá	粉蚜
fěn yī	粉衣
fèn yíng	粪蝇
fēng hǔ	蜂虎
fēng hù	风鹱
fēng lán	风兰
fēng lóng	风龙
fèng luó	凤螺
fèng wèi	凤鳚
fēng xiāng	枫香
fēng yáng	枫杨
fó huáng	佛蝗
fú é	蝠蛾
fù è	副鳄
fù fēi	副鲱
fǔ há	斧蛤
fù há	腹蛤
fù huáng	负蝗
fú mù	福木
fù qiū	副鳅
fù shǔ	负鼠
fú tái	浮苔
fù wèi	副鳚
fú yì	伏翼
fú yóu	蜉蝣
fù zǐ	附子
gài zhū	盖蛛
gān jú	柑桔
gǎn lǎn	橄榄
gān shí	杆石
gān sōng	甘松
gān xiū	杆䗛
gān zǎo	甘藻
gǎng sōng	岗松
gāo jiāng	高鳉
gāo liang	高粱
gāo lóng	高龙
gǎo měng	缟獴
gǎo míng	缟螟
gāo wèi	高鳚
gǎo yíng	缟蝇
gé chì	革翅
gé lí	蛤蜊
gé pí	革蜱
gé shēn	革鲹
gé tún	革鲀
gē wú	歌鹀
gē xíng	鸽形
gēn mǎn	根螨
gèng hóu	更猴
gōng jiāo	弓鲛
gǒng tóng	珙桐
gōng xíng	𮭥形
gōng yú	公鱼
gōu é	钩蛾
gōu luó	沟螺
gǒu qǐ	枸杞
gòu shù	构树
gōu téng	钩藤
gōu wěn	钩吻
gōu xiā	钩虾
gǒu yú	狗鱼
gǔ bǎo	古鸨
gǔ biān	骨鳊
gǔ biào	骨鳔
gǔ dǐng	骨顶
gǔ é	谷蛾
gǔ guǒ	古果
gǔ jiǎ	骨甲
gǔ jué	鼓蕨
gǔ lián	古蠊
gǔ luó	骨螺
gǔ mù	谷木
gǔ shǔ	谷鼠
gǔ tù	古兔
gǔ xuě	古鳕
gǔ yuán	古蚖
gǔ zǎo	鼓藻
gǔ zú	古足
guā chūn	瓜蝽
guā lì	瓜栗
guài táng	怪螳
guài yuán	怪螈
guān hè	冠鹤
guān lóng	冠龙
guǎn shé	管蛇
guān shǔ	冠鼠
guān táng	冠螳
guàn xíng	鹳形
guàn zhòng	贯众
guǎn zhū	管蛛
guāng dié	光鲽
guāng gāo	光睾
guāng guì	光鱥
guāng láng	桄榔
guāng shān	光山
guāng xī	光蜥
guī biē	龟鳖
guī cǎo	硅草
guǐ jiù	鬼臼
guì lán	桂兰
guǐ lán	鬼兰
guī lú	鲑鲈
guì mù	桂木
guǐ xiè	鬼蟹
guī xíng	鲑形
guǐ yóu	鬼鲉
guī zǎo	硅藻
guī zú	龟足
guǒ fú	果蝠
guō zhōng	蝈螽
hǎi cháng	海鲿
hǎi chūn	海蝽
hǎi dài	海带
hǎi diāo	海雕
hǎi fáng	海鲂
hǎi láng	海螂
hǎi lián	海鲢
hǎi lóng	海龙
hǎi lù	海鹿
hǎi mǎ	海马
hǎi mǎn	海螨
hài niǎo	骇鸟
hǎi niú	海牛
hǎi quán	海蜷
hǎi què	海雀
hǎi sāng	海桑
hǎi shī	海狮
hǎi tóng	海桐
hǎi tù	海兔
hǎi tún	海豚
hǎi xiàng	海象
hǎi yíng	海萤
hǎi yóu	海鲉
hǎi zǎo	海枣
hǎi zhé	海蜇
hǎi zhì	海蛭
hǎn wèi	罕鳚
hàn xiǎn	旱藓
hán xiǎn	寒藓
hán xiào	含笑
hán yā	寒鸦
hàn yǐ	悍蚁
hán zhú	寒竹
hāo jué	蒿蕨
háo zǎo	貉藻
háo zhū	豪猪
hé guī	盒龟
hé lí	河狸
hè líng	褐蛉
hé lóng	颌龙
hé luó	核螺
hé luó	盒螺
hé mǎ	河马
hé méng	合萌
hè qīng	褐蜻
hé sāi	合鳃
hè sǎn	褐伞
hè shī	鹤虱
hé wū	河乌
hè xuě	褐鳕
hé yā	河鸭
hē zǐ	诃子
hēi è	黑鳄
hēi huáng	黑蝗
hēi lí	黑鹂
hēi mài	黑麦
hēi shǔ	黑鼠
hēi táng	黑螳
hēi xī	黑犀
hēi yíng	黑蝇
hēi yóu	黑鲉
héng xíng	鸻形
hóng bà	红鲌
hóng chóng	红虫
hóng dòu	红豆
hóng gū	红菇
hóng guā	红瓜
hóng guàn	红鹳
hóng huā	红花
hóng qīng	红蜻
hóng rán	虹蚺
hóng shā	红沙
hóng shā	红砂
hóng shān	红杉
hóng táng	虹螳
hóng wēng	红鹟
hóng yǐ	红蚁
hóng yǒng	红鲬
hòu chǐ	厚齿
hòu chóng	鲎虫
hòu há	厚蛤
hòu māo	后猫
hòu xiè	厚蟹
hǔ cì	虎刺
hǔ é	虎蛾
hú fēng	胡蜂
hǔ jiǎ	虎甲
hú jiān	狐鲣
hú jiāo	胡椒
hú jué	槲蕨
hú láng	胡狼
hú lu	葫芦
hǔ lù	虎鹭
hú má	胡麻
hú měng	狐獴
hú nián	胡鲶
hǔ shā	虎鲨
hú táo	胡桃
hú wēn	狐鳁
hú yíng	胡蝇
hú zhì	湖蛭
huá biān	华鳊
huà chūn	划蝽
huá cōng	华蟌
huá fù	华蝮
huá guī	滑龟
huā jiāng	花鳉
huā jiāo	花椒
huā kuí	花葵
huá líng	华鲮
huā lú	花鲈
huā lù	花鹿
huà méi	画眉
huà mù	桦木
huá píng	华鲆
huā píng	花鲆
huā qiū	花楸
huá qiū	华鳅
huá quán	华蜷
huá rèn	滑刃
huā shēng	花生
huā shǔ	花鼠
huā táng	花螳
huá téng	滑藤
huá xī	滑蜥
huā xiǎn	花蚬
huā yì	花鮨
huā yíng	花萤
huā yíng	花蝇
huā zǎo	花蚤
huā zhū	花蛛
huán dié	环蝶
huán kǒu	环口
huàn lóng	幻龙
huán sǎn	环伞
huáng bò	黄檗
huáng chán	黄婵
huáng dié	黄蝶
huáng fú	黄蝠
huáng huái	黄槐
huáng jì	黄鲫
huáng jīng	黄精
huáng jīng	黄荆
huáng lí	黄鹂
huáng lián	黄连
huáng lú	黄栌
huáng lú	黄鲈
huáng qǐ	黄杞
huáng qín	黄芩
huáng shàn	黄鳝
huáng shān	黄杉
huáng shǔ	黄鼠
huáng tán	黄檀
huáng wā	蝗蛙
huáng wēi	黄薇
huáng yáng	黄杨
huáng yào	黄药
huáng yíng	蝗蝇
huáng yú	黄鱼
huì chán	喙蟾
huī dié	灰蝶
huì dié	喙蝶
huī jīng	灰鲸
huī lián	辉蠊
huì lóng	绘龙
huī qīng	灰蜻
huì tún	喙豚
huī wēng	灰鹟
huī xiǎn	灰藓
huì yíng	秽蝇
huí yú	茴鱼
huī zǎo	灰藻
huò bèi	货贝
huǒ jí	火棘
huǒ jī	火鸡
huǒ tóng	火桐
huǒ yóu	火鱿
jí bèi	吉贝
jí cài	蕺菜
jì cài	荠菜
jī chūn	姬蝽
jī dōng	矶鸫
jí dòu	棘豆
jī è	肌鳄
jì é	寄蛾
jī fēng	姬蜂
jí fēng	集蜂
jī há	肌蛤
jì jiǎ	寄甲
jì jiū	髻鸠
jī jué	姬蕨
jǐ lóng	戟龙
jí lóng	棘龙
jī lóng	基龙
jī lóng	激龙
jí mán	棘鳗
jī méi	笄霉
jī niǎo	畸鸟
jí qí	棘鳍
jí shé	棘蛇
jí shǔ	棘鼠
jǐ wéi	几维
jī wēng	姬鹟
jī wú	唧鹀
jǐ xī	脊蜥
jí xì	棘隙
jī xiāo	姬鸮
jī xíng	鸡形
jī xuě	矶鳕
jī yǎn	基眼
jǐ yǐ	脊蚁
jí yóu	棘鲉
jī yù	姬鹬
jī zhū	姬猪
jī zhū	姬蛛
jiǎ dào	假稻
jiǎ lián	甲蠊
jiǎ lóng	甲龙
jiá lóng	铗龙
jiǎ mǎn	甲螨
jiá mí	荚蒾
jiǎ péng	假蓬
jiǎ shǔ	岬鼠
jiā shǔ	家鼠
jiǎ yè	假叶
jiǎ yíng	甲蝇
jiàn chēng	剑蛏
jiàn chǐ	剑齿
jiàn chóng	箭虫
jiǎn fēng	茧蜂
jiàn jué	剑蕨
jiàn líng	剑羚
jiàn lóng	剑龙
jiān luó	坚螺
jiǎn máo	硷茅
jiān niǎo	鲣鸟
jiàn shé	剑蛇
jiàn shí	箭石
jiān shǔ	尖鼠
jiàn tíng	箭蜓
jiǎn wǎn	碱菀
jiàn wěi	剑尾
jiàn xī	箭蜥
jiān yá	坚蚜
jiān zhū	尖蛛
jiāng dié	江鲽
jiàng jiè	绛蚧
jiǎng lóng	桨龙
jiāng méi	浆霉
jiāng tún	江豚
jiāng xíng	鳉形
jiāng xuě	江鳕
jiǎo bèi	角贝
jiǎo è	角鳄
jiào hè	叫鹤
jiāo juān	蕉鹃
jiǎo jué	角蕨
jiǎo kuí	角蝰
jiāo liáo	鹪鹩
jiǎo lóng	角龙
jiǎo mǎ	角马
jiǎo nián	角鲶
jiāo róng	椒榕
jiǎo shā	角鲨
jiǎo tái	角苔
jiāo téng	胶藤
jiāo wēng	娇鹟
jiào yā	叫鸭
jiāo yī	胶衣
jiāo yīng	鹪莺
jiāo yīng	娇莺
jiǎo zhì	角雉
jiǎo zhū	狡蛛
jié chēng	截蛏
jié gěng	桔梗
jié jǐng	节颈
jiè jué	介蕨
jiè ké	介壳
jié luó	截螺
jiè mǎn	疥螨
jié táng	睫螳
jié xiāng	结香
jīn bī	金鲾
jǐn cài	堇菜
jīn guā	金瓜
jīn guī	金龟
jǐn guī	锦龟
jǐn kuí	锦葵
jǐn lán	菫兰
jīn líng	金蛉
jīn liù	金鹨
jīn māo	金猫
jīn què	金雀
jǐn shé	锦蛇
jīn sōng	金松
jīn xiē	金蝎
jīn yǎn	金鼹
jīn yāo	金腰
jīn yíng	金蝇
jīn yīng	金英
jìng há	镜蛤
jīng jiāng	茎鳉
jīng jiè	荆芥
jīng lóng	鲸龙
jīng lú	晶鲈
jīng shī	鲸虱
jìng táng	静螳
jǐng táng	颈螳
jīng wèi	茎鳚
jiū gē	鸠鸽
jiǔ jié	九节
jiù yīng	鹫鹰
jiù zhū	鹫蛛
jù chūn	巨蝽
jù fù	巨蝮
jù guī	巨龟
jú huā	菊花
jú jù	菊苣
jù líng	巨羚
jù nián	巨鲶
jù ōu	巨鸥
jú qín	菊芹
jù qīng	巨蜻
jǔ ruò	蒟蒻
jù shā	锯鲨
jú shí	菊石
jù tǎ	巨獭
jù tuó	巨驼
jù wén	巨蚊
jù xī	巨犀
jù xī	巨蜥
jú yá	桔蚜
jù yáo	锯鳐
jù yì	锯鮨
jù yǐn	巨蚓
jù yuán	巨猿
juàn bǎi	卷柏
juǎn é	卷蛾
juàn é	绢蛾
juǎn ěr	卷耳
juān jiū	鹃鸠
juān jú	鹃鵙
juàn líng	狷羚
juàn wěi	卷尾
juān xíng	鹃形
jué chuáng	爵床
jué má	蕨麻
jué shǔ	蹶鼠
jué zǎo	蕨藻
jùn táng	俊螳
jūn yóu	鲪鲉
kā fēi	咖啡
kā zhū	喀蛛
ké dòu	壳斗
kē shù	柯树
kē wén	苛蚊
kǒng jiǎo	恐角
kǒng mǎ	恐马
kǒng niǎo	恐鸟
kǒng yǒng	孔鲬
kǒu mó	口蘑
kòu zhū	寇蛛
kǔ cǎo	苦草
kǔ shēn	苦参
kù wén	库蚊
kǔ zhú	苦竹
kǔ zhū	苦槠
kuài jūn	块菌
kuǎn dōng	款冬
kuān dōng	宽鮗
kuí há	魁蛤
kuī lán	盔兰
kuī lóng	盔龙
kuí shé	蝰蛇
kuí yú	蝰鱼
kūn bù	昆布
kuò qiào	阔翘
kuò yú	蛞蝓
là chán	蜡蝉
là gū	蝲蛄
là huā	蜡花
là jiāo	辣椒
là jiè	蜡蚧
là jú	蜡菊
là mù	辣木
lài cǎo	赖草
lái mù	梾木
lán diāo	蓝鲷
lán há	篮蛤
lán huā	兰花
lán jì	蓝蓟
lán jiāng	蓝姜
lǎn lǐ	榄李
lán què	蓝鹊
lǎn rén	榄仁
lán sā	兰撒
lǎn xióng	懒熊
lán xuě	蓝雪
lán xuě	蓝鳕
lán yā	蓝鸦
láng huān	狼獾
láng wèi	狼鳚
láng xuě	狼鳕
lè zhú	簕竹
lěi fēn	蕾芬
léi liàn	雷楝
léi lóng	雷龙
lèi lú	类芦
lèi mù	肋木
léi niǎo	雷鸟
lèi quán	肋蜷
léi shòu	雷兽
léi yì	雷鮨
léng fáng	棱鲂
lěng shān	冷杉
léng táng	棱螳
léng tí	棱鳀
lì bèi	笠贝
lǐ cháng	鳢肠
lǐ chǐ	鲤齿
lì cōng	丽蟌
lì diāo	丽鲷
lí dòu	黎豆
lì è	戾鳄
lì guī	丽龟
lì há	立蛤
lì hān	笠蚶
lì héng	蛎鸻
lì jiǎ	丽甲
lì jiāng	丽鳉
lì jué	栗蕨
lí lú	藜芦
lì mǎn	厉螨
lì quán	粒蜷
lì shāo	丽蛸
lí tóng	梨桐
lì wèi	笠鳚
lì wěi	丽尾
lì xiā	俪虾
lì xiāo	栗鸮
lì xiè	丽蟹
lǐ xíng	鲤形
lǐ yà	鲤亚
lì yǐ	丽蚁
lì yíng	丽蝇
lí yíng	璃蝇
lì yù	蛎鹬
lí zǎo	狸藻
lì zǎo	丽藻
lí zhí	狸殖
lì zú	丽足
lián bāo	镰孢
lián diāo	镰鲷
lián há	帘蛤
liàn jiè	链蚧
lián jué	镰蕨
lián lóng	镰龙
lián mù	镰木
lián què	连雀
liàn shé	链蛇
liàn zǎo	链藻
liàng bā	亮鲃
liàng luó	亮螺
liàng xī	亮蟋
liáo gē	鹩哥
liáo méi	鹩鹛
liè bào	猎豹
liè chǐ	列齿
liè chóng	裂虫
liè dāng	列当
liè é	列蛾
liè gǒu	鬣狗
liè líng	鬣羚
liè xī	鬣蜥
liè yáng	鬣羊
liè yīng	鬣鹰
liè zhū	猎蛛
liè zī	裂鲻
lín chì	鳞翅
lín chī	林鸱
lín chún	林鹑
lín diāo	林雕
lín è	磷鳄
lín jiǎ	鳞甲
lín jiāng	鳞鳉
lín jú	林鵙
lín lí	林狸
lín lóng	林龙
lín méi	林鹛
lín mù	鳞木
lín qú	林鸲
lín shé	林蛇
lín shǔ	林鼠
lín tù	林兔
lín tún	鳞鲀
lín wā	林蛙
lín wěi	鳞苇
lín wèi	林猬
lín wēng	林鹟
lín xiā	磷虾
lín xiǎn	鳞藓
lín yuán	磷螈
líng chán	铃蟾
lǐng chún	领鹑
líng chún	翎鹑
líng niú	羚牛
lǐng qiū	岭鳅
lǐng què	岭雀
líng xiāo	凌霄
líng zhǎng	灵长
líng zhōng	菱螽
liǔ ān	柳桉
liǔ ān	柳安
liú é	瘤蛾
liǔ lán	柳兰
liú lián	榴莲
liú luó	瘤螺
liú táng	瘤螳
liú xuě	瘤鳕
liú yā	瘤鸭
liú yī	瘤衣
liū yíng	溜蝇
lóng dǎn	龙胆
lóng qiū	龙鳅
lóng xī	龙蜥
lóng xià	龙下
lóng xiàn	龙线
lóng yà	龙亚
lóng yǎn	龙眼
lóng zhū	龙珠
lóu gū	蝼蛄
lú cí	鸬鹚
lù é	鹿蛾
lù guī	陆龟
lú huì	芦荟
lù huò	鹿藿
lú wā	芦蛙
lú wěi	芦苇
lú xíng	鲈形
lú yà	鲈亚
lú yīng	芦莺
luǎn há	卵蛤
luán shù	栾树
luǒ jué	裸蕨
luò kuí	落葵
luǒ lǐ	裸鲤
luò mǎ	骆马
luó mó	萝摩
luǒ sāi	裸鳃
luò shí	络石
luǒ shí	裸实
luǒ shǔ	裸鼠
luǒ shuò	裸蒴
luó sī	螺蛳
luǒ wǎn	裸菀
luǒ xī	裸蟋
luò yán	落檐
luǒ zǎo	裸藻
lǜ fù	绿蝮
lǜ hóu	绿猴
lǜ lù	绿鹭
lǜ luó	绿萝
lǜ xiè	绿蟹
lǜ yíng	绿蝇
mǎ bà	马鲅
mǎ fēng	马蜂
má huáng	麻黄
mǎ lán	马兰
má lì	麻栎
mǎ líng	马羚
mǎ lóng	马龙
mǎ qián	马钱
má què	麻雀
mǎ sāng	马桑
má wǎn	麻菀
má xī	麻蜥
má yíng	麻蝇
má zhū	蟆蛛
mài chì	脉翅
mài é	麦蛾
mài luó	麦螺
màn bā	曼巴
mán cǎo	鳗草
mán lí	鳗鲡
màn lóng	慢龙
mán lóng	蛮龙
mán luó	鬘螺
mán nián	鳗鲇
mán táng	蛮螳
màn wā	曼蛙
mán wèi	鳗鳚
mán yuán	鳗螈
máng cǎo	芒草
máng chūn	盲蝽
máng guǒ	芒果
máng há	芒蛤
máng lǐ	盲鲤
máng pí	盲魮
máng shé	盲蛇
mǎng shé	蟒蛇
máng tǎ	盲鳎
máng yá	芒蚜
máng yíng	芒蝇
máo chì	毛翅
máo diāo	矛鲷
máo gèn	毛茛
máo guā	茅瓜
máo huā	矛花
máo jiāo	矛鲛
máo lán	毛兰
máo líng	毛蛉
máo luó	毛螺
máo méi	毛霉
máo měng	毛蠓
māo niǎo	猫鸟
máo niú	牦牛
māo rǔ	猫乳
máo ruì	毛蚋
mào sǎn	帽伞
máo wèi	毛猬
máo xiā	毛虾
máo xiāng	茅香
māo xióng	猫熊
máo yá	毛蚜
máo yǐ	毛蚁
máo yíng	毛蝇
máo zhú	毛竹
méi cǎo	霉草
méi diāo	梅鲷
měi guì	美鱥
mèi lóng	寐龙
méi lú	梅鲈
měi nián	美鲇
měi nián	美鲶
méi tái	煤炱
méi wēng	眉鹟
méi zǎo	眉藻
měi zhū	美蛛
měng diāo	猛雕
méng wèi	蒙鳚
měng xiāo	猛鸮
méng yǎn	虻眼
měng yǐ	猛蚁
mèng yíng	孟蝇
mǐ cǎo	米草
mì huā	蜜花
mì huān	蜜獾
mí líng	麋羚
mì lóng	秘龙
mì shǔ	密鼠
mǐ tái	米苔
mǐ xiā	米虾
