ā kā piàn	阿咖片
bǎo tāi líng piàn	保胎灵片
bǎo tài sōng piàn	保泰松片
bèi fú tì ní	贝福替尼
bèi zǔ tì fán	贝组替凡
bǐ gē tì ní	吡咯替尼
bǐ luò xī lì	吡洛西利
bí shū shì piàn	鼻舒适片
bí yān líng piàn	鼻咽灵片
bó ruì tì ní	伯瑞替尼
bù gé tì ní	布格替尼
bù luò fēn piàn	布洛芬片
bǔ shèn níng piàn	补肾宁片
cáng yīn chén piàn	藏茵陈片
cháng duō táng piàn	肠多糖片
cháng wèi níng piàn	肠胃宁片
chuān xīn lián piàn	穿心莲片
cì wǔ jiā piàn	刺五加片
dá ěr xī lì	达尔西利
dá kě tì ní	达可替尼
dá lā fēi ní	达拉非尼
dá luó tā àn	达罗他胺
dá shā tì ní	达沙替尼
dēng tái yè piàn	灯台叶片
dì fǎ míng piàn	递法明片
dì jǐn cǎo piàn	地锦草片
dì shū dān kàng	地舒单抗
dōng bái méi piàn	冬白梅片
dù wéi lì sāi	度维利塞
duàn xuè liú piàn	断血流片
duō nà fēi ní	多纳非尼
è dá tì ní	厄达替尼
è luò tì ní	厄洛替尼
ēn kǎo fēn ní	恩考芬尼
ēn qǔ tì ní	恩曲替尼
ēn shā tì ní	恩沙替尼
ēn tì sī tā	恩替司他
ēn zhā lú àn	恩扎卢胺
fǎ mǐ tì ní	法米替尼
fèn nǎi jìng piàn	奋乃静片
fù gān níng piàn	复肝宁片
fù kāng níng piàn	妇康宁片
fú kāng zuò piàn	氟康唑片
fū kuí tì ní	呋喹替尼
fú luó ní bù	伏罗尼布
fú mǎ tì ní	氟马替尼
fú měi tì ní	伏美替尼
fù shèn níng piàn	复肾宁片
fù wèi sàn piàn	复胃散片
fú wéi xī lì	伏维西利
fù yán kāng piàn	妇炎康片
fú zé léi sāi	氟泽雷塞
fú zuò pà lì	氟唑帕利
gān děi zhì piàn	肝得治片
gān fù lè piàn	肝复乐片
gān jiā xīn piàn	肝加欣片
gān kāng níng piàn	肝康宁片
gǎn mào líng piàn	感冒灵片
gǎn mào qīng piàn	感冒清片
gān táng zhǐ piàn	甘糖酯片
gān wéi kāng piàn	肝维康片
gān xǐ lè piàn	肝喜乐片
gē lái léi sāi	戈来雷塞
gé suǒ léi sāi	格索雷塞
gēn tòng píng piàn	根痛平片
gèng nián ān piàn	更年安片
gèng nián lè piàn	更年乐片
gǔ cì níng piàn	骨刺宁片
gǔ jīn wán piàn	骨筋丸片
gǔ měi tì ní	谷美替尼
gǔ yán líng piàn	骨炎灵片
guān mài níng piàn	冠脉宁片
guān xīn tōng piàn	冠心通片
guò gǎng lóng piàn	过岗龙片
hóu jí líng piàn	喉疾灵片
hóu shū níng piàn	喉舒宁片
hóu tòng líng piàn	喉痛灵片
hóu tóu jūn piàn	猴头菌片
hù gān níng piàn	护肝宁片
huà zhì líng piàn	化痔灵片
huáng téng sù piàn	黄藤素片
huáng yáng níng piàn	黄杨宁片
huó lì yuán piàn	活力源片
jí fēi tì ní	吉非替尼
jí ruì tì ní	吉瑞替尼
jiǎ gǔ àn piàn	甲钴胺片
jiǎ zhuàng xiàn piàn	甲状腺片
jiàn nǎo líng piàn	健脑灵片
jīn lián huā piàn	金莲花片
jīn qiáo mài piàn	金荞麦片
kǎ fēi zuǒ mǐ	卡非佐米
kǎ mǎ tì ní	卡马替尼
kǎ pǐ sè tì	卡匹色替
kàng bìng dú piàn	抗病毒片
kàng gōng yán piàn	抗宫炎片
ké chuǎn shū piàn	咳喘舒片
kè zuò tì ní	克唑替尼
kǔ shēn sù piàn	苦参素片
kūn fù kāng piàn	坤复康片
lā luó tì ní	拉罗替尼
lā pà tì ní	拉帕替尼
lái luó xī lì	来罗西利
lái nà dù àn	来那度胺
lái qǔ zuò piàn	来曲唑片
le gē wáng piàn	了哥王片
lì è tì ní	利厄替尼
lì gān kāng piàn	利肝康片
lì gān lóng piàn	利肝隆片
lì kě jūn piàn	利可君片
lì nǎo xīn piàn	利脑心片
lì sī pū lán	利司扑兰
lín pǔ lì sāi	林普利塞
lóng bì shū piàn	癃闭舒片
lóng fèng bǎo piàn	龙凤宝片
lú bǐ tì dìng	芦比替定
lú kě tì ní	芦可替尼
luǎn lín zhī piàn	卵磷脂片
lún fá tì ní	仑伐替尼
luò lā tì ní	洛拉替尼
mǎ lín guā piàn	吗啉胍片
mài luò tōng piàn	脉络通片
mǐ dàn píng piàn	米氮平片
nài lā tì ní	奈拉替尼
nǎo dé shēng piàn	脑得生片
nǎo líng sù piàn	脑灵素片
nǎo xīn qīng piàn	脑心清片
nǎo xuè kāng piàn	脑血康片
nǎo xuè shuān piàn	脑血栓片
ní lā pà lì	尼拉帕利
ní luò tì ní	尼洛替尼
niào lù tōng piàn	尿路通片
niào sāi tōng piàn	尿塞通片
pà gē sī piàn	帕歌斯片
pà mǐ pà lì	帕米帕利
pài bǎi xī lì	哌柏西利
pán lóng qī piàn	盘龙七片
pèi mǐ tì ní	佩米替尼
péi zuò pà ní	培唑帕尼
pén yán jìng piàn	盆炎净片
péng tì zuǒ mǐ	硼替佐米
pō mǎ dù àn	泊马度胺
pō nà tì ní	泊那替尼
pǔ lā tì ní	普拉替尼
pǔ lè ān piàn	普乐安片
pǔ lǔ tuō chún	普鲁托醇
pǔ lún sī tè	普仑司特
pǔ luò bì dá	普洛必达
pǔ luó bù kǎo	普罗布考
pǔ luó bù kě	普罗布可
pǔ luó cí xī	普罗雌烯
pǔ luó diǎn ǎn	普罗碘铵
pǔ luó fēn àn	普罗吩胺
pǔ luó gēng qín	普罗庚嗪
pǔ luó ma zhǐ	普罗吗酯
pǔ luò nài ěr	普洛萘尔
pǔ luó pà tóng	普罗帕酮
pǔ luó sī tài	普罗司泰
pǔ luó tì lín	普罗替林
pǔ luó tuō chún	普罗托醇
pǔ luó xīn xī	普罗新希
pǔ měi lā tài	普美拉泰
pǔ shì tài piàn	普适泰片
qīng kāi líng piàn	清开灵片
qīng méi àn piàn	青霉胺片
qǔ lā xī lì	曲拉西利
qǔ měi tì ní	曲美替尼
rè lín qīng piàn	热淋清片
rén shēn gān cǎo	人参甘草
rén tāi pán piàn	人胎盘片
rǔ zēng níng piàn	乳增宁片
ruì bō xī lì	瑞波西利
ruì è tì ní	瑞厄替尼
ruì gē fēi ní	瑞戈非尼
ruì pài tì ní	瑞派替尼
ruì pǔ tì ní	瑞普替尼
ruì qí tì ní	瑞齐替尼
ruì wéi lǔ àn	瑞维鲁胺
sāi lì ní suǒ	塞利尼索
sāi nà pà lì	塞纳帕利
sāi pǔ tì ní	塞普替尼
sāi ruì tì ní	塞瑞替尼
sài wò tì ní	赛沃替尼
shā lì dù àn	沙利度胺
shàn cún yín piàn	善存银片
shèn kāng níng piàn	肾康宁片
shèn shuāi níng piàn	肾衰宁片
shèn yán shū piàn	肾炎舒片
shēng xuè níng piàn	生血宁片
shū ní tì ní	舒尼替尼
shū wò tì ní	舒沃替尼
shuāng huáng lián piàn	双黄连片
sī pà shā xīng	司帕沙星
suǒ fán tì ní	索凡替尼
suǒ lā fēi ní	索拉非尼
suǒ lì dé jí	索立德吉
tā léi tì ní	他雷替尼
tā zé sī tā	他泽司他
tài ruì xī lì	泰瑞西利
tè pō tì ní	特泊替尼
tì xiāo zuò piàn	替硝唑片
tuō bǐ zhǐ piàn	托吡酯片
tuō kǎ péng piàn	托卡朋片
wèi fù chūn piàn	胃复春片
wèi lì kāng piàn	胃立康片
wéi méi sù piàn	维酶素片
wéi mò fēi ní	维莫非尼
wéi nài kè lā	维奈克拉
wèi téng níng piàn	胃疼宁片
wèi tòng níng piàn	胃痛宁片
wèi wǎn shū piàn	胃脘舒片
xī dá běn àn	西达本胺
xiān líng pí piàn	仙灵脾片
xiāo ái píng piàn	消癌平片
xiāo ké chuǎn piàn	消咳喘片
xiāo kě líng piàn	消渴灵片
xiāo kě píng piàn	消渴平片
xiāo luò tòng piàn	消络痛片
xīn dá kāng piàn	心达康片
xīn lǜ níng piàn	心律宁片
xīn mài tōng piàn	心脉通片
xīn nǎo jìng piàn	心脑静片
xīn shén níng piàn	心神宁片
xīn shēng huà piàn	新生化片
xīn wú yōu piàn	心无忧片
xīn xuè níng piàn	心血宁片
xuàn yùn níng piàn	眩晕宁片
xuè fù shēng piàn	血复生片
xuè mài qīng piàn	血脉清片
xuè měi ān piàn	血美安片
xuè sāi tōng piàn	血塞通片
yán kě níng piàn	炎可宁片
yán lì jìng piàn	炎痢净片
yán lì xiāo piàn	炎立消片
yán rè qīng piàn	炎热清片
yǎng xīn shì piàn	养心氏片
yī bù tì ní	伊布替尼
yī fèng ā kè	依奉阿克
yì kūn níng piàn	益坤宁片
yī lǔ ā kè	伊鲁阿克
yī mǎ tì ní	伊马替尼
yì mài kāng piàn	益脉康片
yī nà lì sāi	伊那利塞
yì nǎo níng piàn	益脑宁片
yī shā zuǒ mǐ	伊沙佐米
yī wéi mò sī	依维莫司
yīn bái chōng jì	茵白冲剂
yǐn duǒ bù fēn	吲哚布芬
yǐn duǒ jīng lǜ	吲哚菁绿
yǐn duǒ lā míng	吲哚拉明
yǐn duǒ luò ěr	吲哚洛尔
yǐn duǒ měi xīn	吲哚美辛
yín xìng yè piàn	银杏叶片
yū xuè bì piàn	瘀血痹片
zé bù tì ní	泽布替尼
zēng kàng níng piàn	增抗宁片
zēng shēng píng piàn	增生平片
zhèng xīn tài piàn	正心泰片
zhī jiàng níng piàn	脂降宁片
zhǐ ké bǎo piàn	止咳宝片
zhì méi sù piàn	制霉素片
zhì tè jiā piàn	痔特佳片
zhǐ xuè níng piàn	止血宁片
zhì yán xiāo piàn	痔炎消片
zhǐ yǎng xǐ jì	止痒洗剂
zhǒng jié fēng piàn	肿节风片
zǐ lóng jīn piàn	紫龙金片
zǔ shī má piàn	祖师麻片
zuǒ lì tì ní	佐利替尼
ā běn dá zuò piàn	阿苯达唑片
ā bǐ duō ěr piàn	阿比多尔片
ā cǎo luò wéi piàn	阿草洛韦片
ā fēn kā mǐn piàn	阿酚咖敏片
ā fū zuò qín piàn	阿呋唑嗪片
ā kǎ bō táng piàn	阿卡波糖片
ā kā fēn jiāo náng	阿咖酚胶囊
ā kè lā méi sù	阿克拉霉素
ā kè tā lì piàn	阿克他利片
ā lì pài zuò piàn	阿立哌唑片
ā mǐ luò lì piàn	阿米洛利片
ā mǐ tì lín piàn	阿米替林片
ā mò xī lín piàn	阿莫西林片
ā nà qū zuò piàn	阿那曲唑片
ā ní xī tǎn piàn	阿尼西坦片
ā pǔ lín dìng piàn	阿普林定片
ā pǔ zuò lún piàn	阿普唑仑片
ā qí méi sù piàn	阿奇霉素片
ā sī dài yīn piàn	阿司待因片
ā sī mī zuò piàn	阿司咪唑片
ā sī pǐ lín piàn	阿司匹林片
ā sī pǐ lín sàn	阿司匹林散
ā tì luò ěr piàn	阿替洛尔片
ā wèi bā wèi wán	阿魏八味丸
ā wèi huà pǐ gāo	阿魏化痞膏
ā wèi suān nà piàn	阿魏酸钠片
ā xī luò wéi piàn	阿昔洛韦片
ā zuǒ sāi mǐ piàn	阿佐塞米片
ài dì běn kūn piàn	艾地苯醌片
ài fù nuǎn gōng wán	艾附暖宫丸
ài luò sōng ruǎn gāo	艾洛松软膏
āi nà tuǒ dān kàng	埃纳妥单抗
ài pǔ liè tè piàn	爱普列特片
ài sī zuò lún piàn	艾司唑仑片
āi wàn tuǒ dān kàng	埃万妥单抗
ān bèi lǜ ǎn piàn	安贝氯铵片
ān běn dié dìng piàn	氨苯蝶啶片
ān běn wěi má piàn	氨苯伪麻片
ān biàn dú méi sù	氨苄毒霉素
ān biàn pài tì dìng	氨苄哌替啶
ān biàn qīng méi sù	氨苄青霉素
ān biàn xī lín nà	氨苄西林钠
ān biàn xī lín piàn	氨苄西林片
ān biàn xī lín shuān	氨苄西林栓
ān bó lǜ dìng piàn	安搏律定片
ān dá fēn rǔ gāo	安达芬乳膏
ān duō lín jiāo náng	安多霖胶囊
ān ěr mián táng jiāng	安尔眠糖浆
ān ér níng kē lì	安儿宁颗粒
ān fēi kā mǐn piàn	氨啡咖敏片
ān fēi lā tóng piàn	安非拉酮片
ān fēn bā tuǒ piàn	氨酚巴妥片
ān fēn dài yīn piàn	氨酚待因片
ān fēn kā mǐn piàn	氨酚咖敏片
ān fēn lā míng piàn	氨酚拉明片
ān fēn qǔ má piàn	氨酚曲麻片
ān fēn wěi má piàn	氨酚伪麻片
ān gōng jiàng yā wán	安宫降压丸
ān gōng niú huáng piàn	安宫牛黄片
ān gōng niú huáng sàn	安宫牛黄散
ān jī dié lìng piàn	氨基蝶呤片
ān jī jǐ suān piàn	氨基己酸片
ān jiǎ běn suān piàn	氨甲苯酸片
ān jiǎ huán suān piàn	氨甲环酸片
ān jiǎ huán suān piàn	氨钾环酸片
ān kā huáng mǐn piàn	氨咖黄敏片
ān kā liǔ àn piàn	氨咖柳胺片
ān kǎi shū kē lì	安凯舒颗粒
ān kāng xīn jiāo náng	安康欣胶囊
ān kūn zàn yù wán	安坤赞育丸
ān lì dī ěr yè	安利滴耳液
ān lǔ mǐ tè piàn	氨鲁米特片
ān luò fēng shī líng	安络风湿灵
ān luò huà xiān wán	安络化纤丸
ān luò tòng jiāo náng	安络痛胶囊
ān luò tòng jìn gāo	安络痛浸膏
ān lǜ dì píng piàn	氨氯地平片
ān má měi mǐn piàn	氨麻美敏片
ān nài kè tì ní	安奈克替尼
ān nǎo niú huáng piàn	安脑牛黄片
ān niào tōng jiāo náng	安尿通胶囊
ān shén bǎo kē lì	安神宝颗粒
ān shén bǔ nǎo piàn	安神补脑片
ān shén bǔ nǎo yè	安神补脑液
ān shén bǔ qì wán	安神补气丸
ān shén bǔ xīn piàn	安神补心片
ān shén bǔ xīn wán	安神补心丸
ān shén dìng zhì wán	安神定志丸
ān shén jiàn nǎo yè	安神健脑液
ān shén yǎng xīn wán	安神养心丸
ān shén yì nǎo wán	安神益脑丸
ān sòu huà tán wán	安嗽化痰丸
ān suō luò hé jì	氨羧络合剂
ān tā zuò lín piàn	安他唑啉片
ān tāi yì mǔ wán	安胎益母丸
ān tè ěr jiāo wán	安特尔胶丸
ān tì kě jiāo náng	安替可胶囊
ān wèi yáng jiāo náng	安胃疡胶囊
ān wèi zhǐ tòng sàn	安胃止痛散
ān xiān xīn ān piàn	氨酰心安片
ān yáng gù běn gāo	安阳固本膏
ān yáng jīng zhì gāo	安阳精制膏
ān yù měi má piàn	氨愈美麻片
áng dān sī qióng piàn	昂丹司琼片
áo dōng zhuàng shèn wán	敖东壮肾丸
ào fēn xiù ǎn piàn	奥芬溴铵片
ào fó lín jiāo náng	奥佛林胶囊
ào kǎ xī píng piàn	奥卡西平片
ào lā mǐ tè piàn	奥拉米特片
ào léi bā tì ní	奥雷巴替尼
ào shā lā qín nà	奥沙拉秦钠
ào shā pǔ qín piàn	奥沙普嗪片
ào shā pǔ qín piàn	奥沙普秦片
ào shā xī pàn piàn	奥沙西泮片
ào shā xī yáng piàn	奥沙西洋片
ào tài lè jiāo náng	澳泰乐胶囊
ào tài lè kē lì	澳泰乐颗粒
ào tuǒ zhū dān kàng	奥妥珠单抗
ào xī bù níng piàn	奥昔布宁片
ào xī fēi jūn piàn	奥昔非君片
bā ān xī lín piàn	巴氨西林片
bā bǎo bō yún sàn	八宝拨云散
bā bǎo kūn shùn wán	八宝坤顺丸
bā bǎo ruì shēng wán	八宝瑞生丸
bā bǎo yù shū wán	八宝玉枢丸
bā bǎo zhì hóng wán	八宝治红丸
bá dú shēng jī sàn	拔毒生肌散
bā gàn kǒu fú yè	巴干口服液
bā jǐ bǔ shèn wán	巴戟补肾丸
bǎ jī dàn dǎ sàn	把鸡蛋打散
bā jǐ kǒu fú yè	巴戟口服液
bā kǎn xī lín piàn	巴坎西林片
bā liǔ dàn nà piàn	巴柳氮钠片
bā lóng méi sù piàn	巴龙霉素片
bā tè fēn chá jì	巴特芬搽剂
bā wèi ān níng sàn	八味安宁散
bā wèi chén xiāng sàn	八味沉香散
bā wèi chén xiāng wán	八味沉香丸
bā wèi dì huáng wán	八味地黄丸
bā wéi gài xīn piàn	八维钙锌片
bā wèi qín pí wán	八味秦皮丸
bā wèi sān xiāng sàn	八味三香散
bā wèi shèn qì wán	八味肾气丸
bā wèi shí liú sàn	八味石榴散
bā wèi tán xiāng sàn	八味檀香散
bā wèi tán xiāng wán	八味檀香丸
bā wèi tòng jīng piàn	八味痛经片
bā wèi xī lèi sàn	八味锡类散
bā wèi zhǔ yào sàn	八味主药散
bā xiān cháng shòu wán	八仙长寿丸
bá yún fù guāng sàn	拔云复光散
bā zhēn yì mǔ piàn	八珍益母片
bā zhèng kǒu fú yè	八正口服液
bǎi bǎo dān chá jì	百宝丹搽剂
bǎi bǔ zēng lì wán	百补增力丸
bái dài jìng jiāo náng	白带净胶囊
bái dài wán shuǐ wán	白带丸水丸
bǎi dì zī yīn wán	百地滋阴丸
bǎi hé gù jīn piàn	百合固金片
bǎi hé gù jīn wán	百合固金丸
bái hǔ huó luò gāo	白虎活络膏
bǎi huā dìng chuǎn piàn	百花定喘片
bǎi huā dìng chuǎn wán	百花定喘丸
bǎi huáng jìng shén wán	柏黄静神丸
bǎi ké jìng kē lì	百咳静颗粒
bǎi ké jìng táng jiāng	百咳静糖浆
bǎi ké níng kē lì	百咳宁颗粒
bái kòu tiáo zhōng wán	白蔻调中丸
bǎi lè mián jiāo náng	百乐眠胶囊
bái pú huáng jiāo náng	白蒲黄胶囊
bǎi yǎng xiāo rǔ gāo	百痒消乳膏
bǎi yì ruǎn jiāo náng	百益软胶囊
bái yù huà tán wán	白玉化痰丸
bái zhǐ hù xīn sàn	白芷护心散
bái zhú ān wèi sàn	白术安胃散
bái zhú sháo yào sàn	白术芍药散
bái zhú sháo yào tāng	白术芍药汤
bǎi zǐ yǎng xīn piàn	柏子养心片
bǎi zǐ yǎng xīn wán	柏子养心丸
bǎi zǐ zī xīn wán	柏子滋心丸
bàn gù tǐ zhì jì	半固体制剂
bǎn lán gēn chōng jì	板蓝根冲剂
bǎn lán gēn chōng jì	板兰根冲剂
bǎn lán gēn dī wán	板蓝根滴丸
bǎn lán gēn kē lì	板蓝根颗粒
bǎn lán gēn kē lì	板兰根颗粒
bān máo sù rǔ gāo	斑蝥素乳膏
bān máo sù rǔ gāo	班蝥素乳膏
bān máo suān nà piàn	斑蝥酸钠片
bàn xià fú shén sàn	半夏茯神散
bàn xià gān jiāng sàn	半夏干姜散
bàn xià lù chōng jì	半夏露冲剂
bàn xià lù kē lì	半夏露颗粒
bàn xià lù táng jiāng	半夏露糖浆
bàn xià má huáng wán	半夏麻黄丸
bǎo ān wàn líng wán	保安万灵丸
bǎo bao lè kē lì	宝宝乐颗粒
bǎo bao niú huáng sàn	宝宝牛黄散
bǎo chǎn wú yōu sàn	保产无忧散
bǎo ér ān chōng jì	保儿安冲剂
bǎo ér ān kē lì	保儿安颗粒
bǎo er kāng táng jiāng	宝儿康糖浆
bǎo ér níng kē lì	保儿宁颗粒
bǎo ér níng táng jiāng	保儿宁糖浆
bǎo gān kǒu fú yè	保肝口服液
bào gǔ huó luò wán	豹骨活络丸
bào gǔ zhuī fēng gāo	豹骨追风膏
bǎo hé jǔ jué piàn	保和咀嚼片
bǎo hé kǒu fú yè	保和口服液
bǎo hé nóng suō wán	保和浓缩丸
bǎo hé wán shuǐ wán	保和丸水丸
bǎo jì kǒu fú yè	保济口服液
bǎo jì nóng suō wán	保济浓缩丸
bǎo ké níng kē lì	宝咳宁颗粒
bǎo ké níng táng jiāng	宝咳宁糖浆
bǎo lì ěr jiāo náng	保利尔胶囊
bǎo mù míng yǎn yè	保目明眼液
bǎo tāi wú yōu piàn	保胎无忧片
bǎo tāi wú yōu sàn	保胎无忧散
bǎo tóng huà tán wán	保童化痰丸
bǎo xīn níng jiāo náng	保心宁胶囊
bǎo yīng duó mìng sàn	保婴夺命散
bǎo zhēn xiàng jiāo gāo	宝珍橡胶膏
bèi ēn fēn sǎn piàn	倍恩分散片
bèi fá zhū dān kàng	贝伐珠单抗
bèi měi lì ruǎn gāo	倍美力软膏
bèi mǐn wěi má piàn	贝敏伪麻片
bèi mǔ èr dōng gāo	贝母二冬膏
bèi mǔ guā lóu sàn	贝母瓜蒌散
bèi nà pǔ lì piàn	贝那普利片
bèi nà tì qín piàn	贝那替嗪片
běi qí wǔ jiā piàn	北芪五加片
bèi tā lè kè piàn	倍他乐克片
bèi tā mǐ sōng piàn	倍他米松片
bèi tā sī tīng piàn	倍他司汀片
běn bā bǐ tuǒ piàn	苯巴比妥片
běn bǐng ān zhǐ piàn	苯丙氨酯片
běn fēn dī ěr yè	苯酚滴耳液
běn fēn wěi má piàn	苯酚伪麻片
běn hǎi lā míng piàn	苯海拉明片
běn huán rén zhǐ piàn	苯环壬酯片
běn jiǎ tuō pǐn piàn	苯甲托品片
běn kǎ tè luó piàn	苯卡特罗片
běn qiǎng jiǎ àn piàn	苯羟甲胺片
běn shì biē jiǎ wán	本事鳖甲丸
běn tuǒ yīng nà piàn	苯妥英钠片
běn wù chún jiāo wán	苯芴醇胶丸
běn xiù mǎ lóng piàn	苯溴马隆片
běn yǐ pài dìng piàn	苯已哌定片
běn yǐ shuāng guā piàn	苯乙双胍片
běn zhā bèi tè piàn	苯扎贝特片
bǐ bài kè jiāo náng	比拜克胶囊
bǐ fū qīng méi sù	吡呋青霉素
bì jiě fēn qīng wán	萆解分清丸
bǐ kǎ lǔ àn piàn	比卡鲁胺片
bǐ lā xī tǎn piàn	吡拉西坦片
bǐ luó xī kāng piàn	吡罗昔康片
bì měi dòu kòu piàn	铋镁豆蔻片
bí mǐn dī bí yè	鼻敏滴鼻液
bí níng pēn wù jì	鼻宁喷雾剂
bǐ qín bǐ àn piàn	吡嗪吡胺片
bǐ qín xiān àn piàn	吡嗪酰胺片
bǐ shā kě dìng piàn	比沙可啶片
bí shū kǒu fú yè	鼻舒口服液
bǐ suǒ luò ěr piàn	比索洛尔片
bí tōng dī bí yè	鼻通滴鼻液
bì tòng níng jiāo náng	痹痛宁胶囊
bì xiè fēn qīng wán	萆薢分清丸
bí yán níng chōng jì	鼻炎宁冲剂
bí yán níng jiāo náng	鼻炎宁胶囊
bí yán níng kē lì	鼻炎宁颗粒
bí yuān kǒu fú yè	鼻渊口服液
bí yuān shū jiāo náng	鼻渊舒胶囊
biàn fú sāi qín piàn	苄氟噻嗪片
biàn jī fēn tài ní	苄基芬太尼
biàn jī qīng méi sù	苄基青霉素
biàn mì shū jiāo náng	便秘舒胶囊
biàn pǔ dì ěr piàn	苄普地尔片
biàn xīng qīng méi sù	苄星青霉素
biǎo rè qīng kē lì	表热清颗粒
biē lóng ruǎn gān piàn	鳖龙软肝片
bīng cù suān tú jì	冰醋酸涂剂
bìng dú yàng kē lì	病毒样颗粒
bǐng kǎ tè luó piàn	丙卡特罗片
bīng láng qī wèi wán	槟榔七味丸
bīng láng sì xiāo piàn	槟榔四消片
bīng láng sì xiāo wán	槟榔四消丸
bīng lián dī ěr jì	冰连滴耳剂
bǐng liú mī zuò piàn	丙硫咪唑片
bīng méi shàng qīng wán	冰梅上清丸
bīng péng yān hóu sàn	冰硼咽喉散
bīng shuāng méi sū wán	冰霜梅苏丸
bǐng wù suān měi piàn	丙戊酸镁片
bǐng wù suān nà piàn	丙戊酸钠片
bǐng wù xiān àn piàn	丙戊酰胺片
bǐng yǎng ān fēn piàn	丙氧氨酚片
bǐng yǎng pǐ lín piàn	丙氧匹林片
bó bèi kè kē lì	伯贝克颗粒
bó ěr níng jiāo náng	博尔宁胶囊
bó gǔ fēng shī jiǔ	驳骨风湿酒
bō yún tuì yì wán	拨云退翳丸
bǔ fèi xiāo zhǒng wán	补肺消肿丸
bù lèi dí níng piàn	布累迪宁片
bù liè wěi má piàn	布劣伪麻片
bù luò fēn chá jì	布洛芬搽剂
bù luò fēn dī jì	布洛芬滴剂
bù luò wěi má piàn	布洛伪麻片
bù měi tā ní piàn	布美他尼片
bǔ nǎo ān shén piàn	补脑安神片
